,0
0,1064.34
1,1046.7
2,1042.92
3,1033.92
4,1026.36
5,1024.56
6,1013.04
7,1011.96
8,1133.1
9,1152.54
10,1119.96
11,1107.54
12,1113.3
13,1096.56
14,1108.8
15,1146.42
16,1207.26
17,1256.04
18,1294.02
19,1258.2
20,1199.16
21,1179.72
22,1156.68
23,1175.58
24,1130.94
25,1138.14
26,1094.94
27,1114.74
28,1104.66
29,1103.4
30,1126.08
31,1176.12
32,1267.92
33,1508.94
34,1636.92
35,1614.06
36,1542.96
37,1533.24
38,1526.76
39,1555.74
40,1512.18
41,1548.9
42,1479.96
43,1338.84
44,1295.28
45,1296.18
46,1245.6
47,1273.86
48,1258.2
49,1256.22
50,1270.62
51,1246.5
52,1230.12
53,1255.5
54,1243.98
55,1288.44
56,1317.06
57,1349.64
58,1287.36
59,1233.72
60,1184.94
61,1121.58
62,1141.38
63,1175.4
64,1226.52
65,1253.88
66,1230.84
67,1209.78
68,1217.16
69,1209.96
70,1170.72
71,1164.24
72,1151.28
73,1089.0
74,1084.32
75,1065.42
76,1078.38
77,1056.06
78,1066.68
79,1097.1
80,1101.42
81,1083.06
82,1039.86
83,1006.2
84,975.42
85,971.46
86,993.06
87,1031.76
88,1050.84
89,1123.38
90,1208.16
91,1199.16
92,1199.88
93,1223.1
94,1217.7
95,1192.68
96,1169.64
97,1115.46
98,1101.42
99,1090.08
100,1105.56
101,1098.36
102,1173.78
103,1219.5
104,1343.7
105,1536.48
106,1602.36
107,1587.24
108,1532.88
109,1511.28
110,1479.6
111,1447.56
112,1457.82
113,1520.82
114,1472.76
115,1395.36
116,1337.4
117,1286.64
118,1209.06
119,1186.2
120,1160.28
121,1093.68
122,1036.98
123,1054.44
124,1054.62
125,1064.52
126,1068.3
127,1134.54
128,1260.72
129,1449.36
130,1472.22
131,1516.5
132,1495.98
133,1524.42
134,1498.14
135,1486.98
136,1528.38
137,1600.74
138,1640.7
139,1536.12
140,1476.72
141,1373.4
142,1313.1
143,1278.54
144,1265.58
145,1224.54
146,1183.5
147,1175.76
148,1158.66
149,1161.54
150,1249.38
151,1327.32
152,1408.5
153,1579.32
154,1625.76
155,1653.66
156,1448.1
157,1505.16
158,1498.68
159,1462.14
160,1443.24
161,1611.18
162,1555.38
163,1473.48
164,1398.42
165,1406.34
166,1368.36
167,1303.56
168,1220.76
169,1169.64
170,1143.72
171,1101.96
172,1100.7
173,1097.28
174,1139.76
175,1273.32
176,1366.02
177,1624.68
178,1618.92
179,1639.26
180,1635.48
181,1592.28
182,1575.0
183,1589.04
184,1589.58
185,1706.94
186,1656.18
187,1554.66
188,1461.78
189,1415.7
190,1373.22
191,1329.3
192,1283.4
193,1240.74
194,1200.42
195,1186.56
196,1181.34
197,1146.96
198,1193.94
199,1257.48
200,1376.64
201,1618.92
202,1634.22
203,1597.14
204,1585.26
205,1542.42
206,1531.62
207,1518.3
208,1558.62
209,1607.04
210,1510.92
211,1432.08
212,1348.56
213,1305.0
214,1221.12
215,1230.3
216,1156.68
217,1091.7
218,1069.2
219,1043.28
220,1060.74
221,1062.9
222,1096.2
223,1121.22
224,1070.1
225,1099.26
226,1047.78
227,1015.38
228,993.24
229,963.18
230,1006.56
231,1033.92
232,1087.02
233,1150.74
234,1171.26
235,1173.96
236,1183.32
237,1195.02
238,1178.64
239,1164.24
240,1148.04
241,1084.68
242,1088.64
243,1068.66
244,1066.86
245,1061.28
246,1068.3
247,1085.22
248,1096.38
249,1069.56
250,1041.3
251,947.7
252,936.36
253,962.82
254,996.3
255,1057.14
256,1074.42
257,1164.06
258,1198.98
259,1222.92
260,1218.78
261,1222.74
262,1202.76
263,1188.0
264,1150.92
265,1126.44
266,1092.6
267,1080.0
268,1074.6
269,1068.84
270,1103.04
271,1203.48
272,1294.74
273,1534.68
274,1556.82
275,1565.46
276,1496.52
277,1457.46
278,1451.88
279,1460.52
280,1481.04
281,1533.6
282,1556.64
283,1512.18
284,1418.04
285,1369.08
286,1300.86
287,1261.44
288,1206.72
289,1135.98
290,1087.56
291,1085.94
292,1076.58
293,1072.8
294,1120.32
295,1235.52
296,1383.12
297,1614.78
298,1596.06
299,1580.76
300,1544.76
301,1493.82
302,1516.86
303,1485.36
304,1532.52
305,1508.4
306,1462.68
307,1386.18
308,1352.16
309,1314.9
310,1258.2
311,1234.98
312,1197.72
313,1146.06
314,1109.16
315,1083.6
316,1090.8
317,1057.14
318,1117.08
319,1161.72
320,1224.18
321,1454.94
322,1521.18
323,1590.84
324,1539.36
325,1598.94
326,1573.02
327,1589.04
328,1593.36
329,1631.16
330,1552.68
331,1454.04
332,1403.64
333,1377.18
334,1306.26
335,1277.46
336,1263.24
337,1227.24
338,1174.86
339,1196.1
340,1173.24
341,1171.26
342,1194.3
343,1351.08
344,1438.92
345,1675.44
346,1737.36
347,1703.16
348,1577.88
349,1516.5
350,1492.38
351,1469.88
352,1418.76
353,1486.44
354,1474.02
355,1416.96
356,1373.04
357,1346.76
358,1250.64
359,1217.34
360,1172.88
361,1131.12
362,1116.18
363,1107.9
364,1078.38
365,1067.58
366,1121.4
367,1256.04
368,1318.14
369,1566.36
370,1651.86
371,1656.36
372,1614.96
373,1647.0
374,1602.72
375,1582.74
376,1571.22
377,1510.02
378,1442.88
379,1342.26
380,1259.82
381,1195.38
382,1186.38
383,1183.86
384,1152.18
385,1122.84
386,1103.76
387,1094.94
388,1079.82
389,1078.92
390,1066.68
391,1104.66
392,1134.54
393,1164.78
394,1163.34
395,1078.38
396,1054.62
397,1025.46
398,1053.72
399,1101.78
400,1157.76
401,1211.4
402,1271.52
403,1233.18
404,1188.18
405,1194.66
406,1207.62
407,1212.48
408,1183.32
409,1152.18
410,1088.46
411,1114.92
412,1087.56
413,1094.22
414,1080.36
415,1077.66
416,1068.84
417,1052.28
418,1024.56
419,980.1
420,970.74
421,962.28
422,985.5
423,1084.32
424,1123.92
425,1155.78
426,1251.9
427,1191.96
428,1140.66
429,1150.2
430,1129.5
431,1098.54
432,1070.1
433,1025.28
434,973.62
435,949.14
436,956.52
437,941.04
438,1046.16
439,1103.22
440,1189.62
441,1364.76
442,1403.46
443,1451.52
444,1472.94
445,1454.4
446,1460.7
447,1469.34
448,1451.16
449,1516.5
450,1517.94
451,1640.34
452,1540.26
453,1493.46
454,1424.7
455,1375.02
456,1306.8
457,1260.54
458,1231.2
459,1260.0
460,1216.98
461,1225.8
462,1254.42
463,1358.64
464,1491.3
465,1703.7
466,1694.88
467,1659.96
468,1567.98
469,1505.7
470,1484.82
471,1475.82
472,1505.52
473,1486.8
474,1495.44
475,1469.7
476,1403.1
477,1356.66
478,1337.22
479,1333.8
480,1255.32
481,1200.06
482,1193.04
483,1164.42
484,1132.74
485,1125.0
486,1161.0
487,1231.92
488,1320.48
489,1557.0
490,1642.14
491,1635.12
492,1643.58
493,1672.2
494,1629.72
495,1627.38
496,1596.42
497,1608.12
498,1572.3
499,1456.74
500,1375.2
501,1308.6
502,1250.1
503,1228.86
504,1157.22
505,1083.42
506,1042.02
507,1063.44
508,1053.72
509,1086.12
510,1169.46
511,1218.78
512,1316.52
513,1591.2
514,1585.98
515,1540.44
516,1509.66
517,1421.46
518,1414.08
519,1443.06
520,1475.82
521,1512.72
522,1528.02
523,1491.12
524,1414.98
525,1361.52
526,1294.38
527,1271.52
528,1231.92
529,1200.96
530,1171.08
531,1172.7
532,1168.92
533,1132.92
534,1223.28
535,1279.26
536,1376.82
537,1540.8
538,1526.04
539,1489.14
540,1418.58
541,1400.94
542,1371.06
543,1395.72
544,1427.04
545,1477.8
546,1457.1
547,1420.74
548,1328.76
549,1277.82
550,1266.48
551,1276.38
552,1231.38
553,1199.52
554,1170.0
555,1175.58
556,1153.8
557,1167.84
558,1106.64
559,1099.62
560,1117.08
561,1161.0
562,1102.68
563,1077.66
564,1049.04
565,1018.26
566,1006.38
567,1072.08
568,1079.1
569,1114.2
570,1133.46
571,1138.86
572,1104.48
573,1112.94
574,1123.56
575,1121.04
576,1103.94
577,1074.78
578,1067.22
579,1031.04
580,1037.34
581,1026.72
582,1012.68
583,1057.14
584,1076.76
585,1080.36
586,1021.32
587,1031.22
588,1019.16
589,1020.96
590,1033.74
591,1063.44
592,1081.08
593,1112.4
594,1192.14
595,1186.56
596,1170.72
597,1153.98
598,1126.26
599,1141.56
600,1105.38
601,1063.44
602,1036.08
603,1028.16
604,987.12
605,973.98
606,996.3
607,1047.6
608,1168.74
609,1416.96
610,1415.34
611,1394.82
612,1360.08
613,1348.38
614,1418.58
615,1443.42
616,1410.3
617,1412.82
618,1409.22
619,1354.14
620,1296.54
621,1289.34
622,1235.88
623,1177.38
624,1143.18
625,1065.42
626,1028.16
627,1044.72
628,1032.84
629,1035.9
630,1060.92
631,1121.04
632,1261.8
633,1479.06
634,1563.12
635,1524.24
636,1443.6
637,1590.12
638,1590.12
639,1573.2
640,1534.86
641,1541.88
642,1551.06
643,1492.74
644,1441.98
645,1360.98
646,1286.28
647,1236.6
648,1191.24
649,1138.5
650,1097.28
651,1074.6
652,1054.62
653,1083.78
654,1198.26
655,1225.98
656,1337.04
657,1518.48
658,1579.68
659,1556.28
660,1470.96
661,1364.22
662,1439.28
663,1385.82
664,1419.66
665,1477.08
666,1514.16
667,1423.98
668,1380.06
669,1339.74
670,1327.86
671,1282.14
672,1223.82
673,1155.6
674,1084.5
675,1069.56
676,1073.52
677,1047.96
678,1085.76
679,1123.02
680,1264.14
681,1503.0
682,1556.64
683,1556.82
684,1619.28
685,1610.1
686,1623.42
687,1592.82
688,1532.52
689,1546.02
690,1484.28
691,1433.16
692,1336.68
693,1304.28
694,1270.44
695,1237.32
696,1204.38
697,1153.62
698,1112.04
699,1093.86
700,1091.7
701,1071.18
702,1100.88
703,1155.42
704,1265.4
705,1486.8
706,1547.64
707,1562.04
708,1480.14
709,1416.42
710,1451.34
711,1435.32
712,1504.98
713,1485.0
714,1471.68
715,1398.78
716,1306.8
717,1229.76
718,1179.54
719,1211.04
720,1158.84
721,1111.68
722,1073.16
723,1064.7
724,1056.96
725,1067.58
726,1104.3
727,1104.3
728,1155.6
729,1362.24
730,1272.24
731,1291.14
732,1243.8
733,1207.08
734,1240.92
735,1282.32
736,1315.62
737,1333.08
738,1386.18
739,1357.56
740,1363.14
741,1383.48
742,2122.74
743,2146.32
744,1896.3
745,1285.02
746,1226.88
747,1247.04
748,1224.18
749,1211.4
750,1215.72
751,1217.52
752,1222.2
753,1211.4
754,1157.94
755,1118.7
756,1088.28
757,1086.66
758,1093.68
759,1160.64
760,1165.68
761,1234.98
762,1343.7
763,1339.56
764,1341.36
765,1369.08
766,1992.78
767,2019.96
768,1862.28
769,1298.52
770,1296.36
771,1270.26
772,1260.18
773,1237.86
774,1304.28
775,1362.78
776,1443.42
777,1757.52
778,1741.14
779,1722.06
780,1577.34
781,1450.8
782,1440.0
783,1446.66
784,1440.9
785,1547.64
786,1578.6
787,1533.42
788,1452.24
789,1368.54
790,1267.92
791,1245.96
792,1196.28
793,1134.9
794,1097.1
795,1087.74
796,1089.9
797,1075.14
798,1164.42
799,1281.24
800,1411.2
801,1609.38
802,1566.54
803,1547.1
804,1507.68
805,1433.7
806,1448.64
807,1467.0
808,1417.68
809,1470.42
810,1447.02
811,1396.98
812,1340.46
813,1279.08
814,1244.7
815,1235.52
816,1179.0
817,1134.9
818,1105.92
819,1123.92
820,1113.48
821,1108.26
822,1160.1
823,1220.4
824,1328.94
825,1589.04
826,1576.98
827,1594.8
828,1558.62
829,1515.6
830,1513.26
831,1478.52
832,1559.7
833,1555.92
834,1525.68
835,1438.2
836,1366.74
837,1313.1
838,1258.74
839,1248.84
840,1195.56
841,1144.44
842,1101.06
843,1121.22
844,1138.5
845,1127.16
846,1164.96
847,1246.14
848,1573.74
849,1774.8
850,1748.16
851,1767.06
852,1656.72
853,1670.76
854,1702.44
855,1746.54
856,1707.48
857,1721.16
858,1574.64
859,1478.34
860,1338.84
861,1263.78
862,1218.24
863,1179.0
864,1117.26
