,f_fwd,f_bwd,avr_mse
327,14.0,16.0,0.0023338498465829485
372,16.0,13.0,0.002334613322261377
167,7.0,24.0,0.0023482863073205538
515,22.0,12.0,0.0023510730441598923
257,11.0,18.0,0.0023533865186314115
514,22.0,11.0,0.002353849393709161
236,10.0,21.0,0.0023547155866493518
560,24.0,9.0,0.002356242193098945
349,15.0,14.0,0.002360493439711861
235,10.0,20.0,0.002365774660919947
212,9.0,21.0,0.0023868594004444626
303,13.0,16.0,0.00239273160661947
234,10.0,19.0,0.002392927788436932
326,14.0,15.0,0.002393845863909402
211,9.0,20.0,0.0023991032870997555
166,7.0,23.0,0.0024040181842184772
189,8.0,22.0,0.002410417255483421
536,23.0,9.0,0.002411594367286851
256,11.0,17.0,0.0024170144720158174
210,9.0,19.0,0.002421928748255744
513,22.0,10.0,0.002428670074996597
143,6.0,24.0,0.0024300129925289376
559,24.0,8.0,0.0024306455376639302
233,10.0,18.0,0.0024322274842054265
279,12.0,16.0,0.002435153342934554
348,15.0,13.0,0.002440156409678751
209,9.0,18.0,0.0024546302349836703
443,19.0,12.0,0.002455185451603968
302,13.0,15.0,0.00245990177962501
325,14.0,14.0,0.0024622607732219326
188,8.0,21.0,0.00246791533137156
491,21.0,12.0,0.002469052205528367
558,24.0,7.0,0.002472034186101237
442,19.0,11.0,0.0024747618414477012
187,8.0,20.0,0.0024763524634607483
490,21.0,11.0,0.002489519936643829
142,6.0,23.0,0.00249792231357057
419,18.0,12.0,0.0025035315134960736
535,23.0,8.0,0.0025045228995696227
557,24.0,6.0,0.0025112567186422107
186,8.0,19.0,0.002512990325892977
232,10.0,17.0,0.002519928560546754
556,24.0,5.0,0.0025212329164600983
119,5.0,24.0,0.00252201261430626
418,18.0,11.0,0.002522339795717559
255,11.0,16.0,0.002524888262061823
278,12.0,15.0,0.0025248889969892822
467,20.0,12.0,0.002538861103687925
301,13.0,14.0,0.002539817467281095
208,9.0,17.0,0.002545328371790734
395,17.0,12.0,0.0025483302271148553
324,14.0,13.0,0.002549318796706805
165,7.0,22.0,0.0025534699556243874
185,8.0,18.0,0.0025544418985541805
534,23.0,7.0,0.002560273367120372
371,16.0,12.0,0.0025616775487887285
466,20.0,11.0,0.002570270556553882
394,17.0,11.0,0.0025787124323101572
441,19.0,10.0,0.0025817798945963946
489,21.0,10.0,0.002582290816641532
95,4.0,24.0,0.002582962170942304
370,16.0,11.0,0.0025853132902163103
512,22.0,9.0,0.0025977327793891124
118,5.0,23.0,0.002599368342106031
533,23.0,6.0,0.0026039179611007197
532,23.0,5.0,0.002610240005518489
277,12.0,14.0,0.0026108800426022584
254,11.0,15.0,0.002617689562197544
164,7.0,21.0,0.00262672788269798
555,24.0,4.0,0.0026275963766646824
231,10.0,16.0,0.0026348251407950327
417,18.0,10.0,0.002636326226867226
163,7.0,20.0,0.002653997884191758
71,3.0,24.0,0.0026572460816551755
300,13.0,13.0,0.0026615672957913234
465,20.0,10.0,0.0026689300562600955
207,9.0,16.0,0.002670179833310444
94,4.0,23.0,0.002678670089501561
347,15.0,12.0,0.002682316403317003
276,12.0,13.0,0.00269176790589645
393,17.0,10.0,0.002693758781940725
141,6.0,22.0,0.0026945494048263192
162,7.0,19.0,0.0026974874888492113
511,22.0,8.0,0.0026983602443885627
346,15.0,11.0,0.0026987674491913225
184,8.0,17.0,0.0027012851118015536
253,11.0,14.0,0.0027091374598592326
531,23.0,4.0,0.002711463935968695
369,16.0,10.0,0.002718536797809139
554,24.0,3.0,0.0027224402365967283
230,10.0,15.0,0.002737459616628217
161,7.0,18.0,0.002761115525361305
70,3.0,23.0,0.0027640966866900644
510,22.0,7.0,0.0027717069958663625
323,14.0,12.0,0.002773386564350853
140,6.0,21.0,0.0027794537180362176
206,9.0,15.0,0.0027947135466176625
252,11.0,13.0,0.0027951793344142303
508,22.0,5.0,0.0027984634906589733
488,21.0,9.0,0.002808669561892449
47,2.0,24.0,0.0028093388345896077
530,23.0,3.0,0.002813934905385168
440,19.0,9.0,0.0028215168904345512
552,24.0,1.0,0.002834587021409177
509,22.0,6.0,0.002834619099978519
183,8.0,16.0,0.0028358024420786065
24,2.0,1.0,0.002838630317544436
117,5.0,22.0,0.002841513273552944
322,14.0,11.0,0.002847255440180661
139,6.0,20.0,0.002858022401129077
229,10.0,14.0,0.002858103129614385
553,24.0,2.0,0.0028586530397566308
345,15.0,10.0,0.0028601657118527235
160,7.0,17.0,0.002877101119525032
507,22.0,4.0,0.002877753909956789
416,18.0,9.0,0.0028970373245985827
464,20.0,9.0,0.002910994561064245
138,6.0,19.0,0.0029163197443756034
487,21.0,8.0,0.0029275954449523352
299,13.0,12.0,0.002933480022039084
46,2.0,23.0,0.0029364965383682825
93,4.0,22.0,0.002941635287705145
116,5.0,21.0,0.002945683429382783
275,12.0,12.0,0.002946454743698833
228,10.0,13.0,0.002947433955763845
205,9.0,14.0,0.002947547536698852
439,19.0,8.0,0.0029558375590664496
506,22.0,3.0,0.002960408390735276
392,17.0,9.0,0.00296684524965788
529,23.0,2.0,0.0029679974401091587
528,23.0,1.0,0.0029742816441439275
298,13.0,11.0,0.00299882024884182
321,14.0,10.0,0.0030001028790718398
368,16.0,9.0,0.0030022794748448124
137,6.0,18.0,0.0030090326586354665
23,1.0,24.0,0.003020019624712812
463,20.0,8.0,0.0030229702106713274
182,8.0,15.0,0.0030250247599451032
115,5.0,20.0,0.0030324274131730377
92,4.0,21.0,0.00303944138448037
204,9.0,13.0,0.0030427065299479376
415,18.0,8.0,0.003048416420728269
159,7.0,16.0,0.0030501525655178747
1,1.0,2.0,0.003051255289882543
274,12.0,11.0,0.0030535156740265483
69,3.0,22.0,0.0030640267928020944
251,11.0,12.0,0.003070642800434305
486,21.0,7.0,0.0030764073682455827
484,21.0,5.0,0.003085525001266715
136,6.0,17.0,0.003116916066798774
391,17.0,8.0,0.0031194616849122567
367,16.0,8.0,0.0031200769065508373
114,5.0,19.0,0.0031237188854695537
344,15.0,9.0,0.0031419722421830608
485,21.0,6.0,0.00314445801043552
181,8.0,14.0,0.0031688126619218195
505,22.0,2.0,0.0031704659554829514
22,1.0,23.0,0.003170849837119351
91,4.0,20.0,0.00317870605971342
68,3.0,21.0,0.0031883770065810352
297,13.0,10.0,0.003201023659301548
250,11.0,11.0,0.0032079900158859765
113,5.0,18.0,0.0032138464598962797
460,20.0,5.0,0.003222179890770632
462,20.0,7.0,0.0032284908992308648
45,2.0,22.0,0.003244228656306429
90,4.0,19.0,0.0032483054345842683
366,16.0,7.0,0.0032521933205836486
504,22.0,1.0,0.003264730593951467
343,15.0,8.0,0.0032714535390295967
135,6.0,16.0,0.0032768560790051786
483,21.0,4.0,0.003280160138758487
158,7.0,15.0,0.0032803968190872963
461,20.0,6.0,0.003302020201645481
320,14.0,9.0,0.003303995367876191
180,8.0,13.0,0.0033082615399009484
438,19.0,7.0,0.003313723548085141
227,10.0,12.0,0.00331452544989812
273,12.0,10.0,0.003337534125549493
112,5.0,17.0,0.003349416106489003
67,3.0,20.0,0.00336436535145102
89,4.0,18.0,0.003375326804066561
44,2.0,21.0,0.003403471448764021
365,16.0,6.0,0.0034039812685865115
437,19.0,6.0,0.00340696845079202
342,15.0,7.0,0.003414754812639209
414,18.0,7.0,0.003427819974770969
459,20.0,4.0,0.0034292240978191658
66,3.0,19.0,0.0034345376212556607
436,19.0,5.0,0.0034369549543106603
226,10.0,11.0,0.003441598432848961
482,21.0,3.0,0.003451858200125448
203,9.0,12.0,0.003451866139763699
390,17.0,7.0,0.0034532117552733693
319,14.0,8.0,0.003455429998596078
111,5.0,16.0,0.003469407344481688
364,16.0,5.0,0.003507959008747721
157,7.0,14.0,0.0035177259198844514
296,13.0,9.0,0.0035233437240414327
413,18.0,6.0,0.0035332691811984884
88,4.0,17.0,0.003557104483107564
389,17.0,6.0,0.003561079271231137
412,18.0,5.0,0.0035622682777342093
21,1.0,22.0,0.0035728018781225578
341,15.0,6.0,0.0035825403857504398
134,6.0,15.0,0.0035888600767583455
43,2.0,20.0,0.003590762107944592
65,3.0,18.0,0.0035939659562139303
249,11.0,10.0,0.003602594508191803
318,14.0,7.0,0.0036333267230793742
388,17.0,5.0,0.003634872190099098
202,9.0,11.0,0.0036356216369201923
458,20.0,3.0,0.0036543602271173633
87,4.0,16.0,0.003655378165153872
363,16.0,4.0,0.003660582170670633
435,19.0,4.0,0.00366921259723516
42,2.0,19.0,0.003677445455451143
156,7.0,13.0,0.00369345279639415
481,21.0,2.0,0.003708522807898178
272,12.0,9.0,0.0037576175721247907
340,15.0,5.0,0.0037602334786156853
295,13.0,8.0,0.0037672313069258227
20,1.0,21.0,0.0037762918130482743
411,18.0,4.0,0.0037912428197074267
179,8.0,12.0,0.003798350475396686
110,5.0,15.0,0.003805348837190741
480,21.0,1.0,0.003812364072331521
133,6.0,14.0,0.0038353966903344455
387,17.0,4.0,0.003849443767891697
317,14.0,6.0,0.003851680949408
41,2.0,18.0,0.0038885984586099344
434,19.0,3.0,0.0038894663928520016
64,3.0,17.0,0.003902335441018592
294,13.0,7.0,0.003928564685201562
457,20.0,2.0,0.003933585052874542
339,15.0,4.0,0.003944826619537569
362,16.0,3.0,0.003970238347040963
178,8.0,11.0,0.003982894761174205
456,20.0,1.0,0.003991360736795685
19,1.0,20.0,0.0040197351171888775
316,14.0,5.0,0.004056519352061628
109,5.0,14.0,0.004074275069903857
271,12.0,8.0,0.0040883349201364496
410,18.0,3.0,0.004089079057089728
248,11.0,9.0,0.004109943637694118
86,4.0,15.0,0.004123080360577733
132,6.0,13.0,0.0041314533295381
18,1.0,19.0,0.004131739589692964
386,17.0,3.0,0.004136804768284382
63,3.0,16.0,0.0041472267917906465
293,13.0,6.0,0.004175195953156897
433,19.0,2.0,0.004204522877378296
270,12.0,7.0,0.004263617076084596
155,7.0,12.0,0.004278872589560519
40,2.0,17.0,0.0042961402706623904
225,10.0,10.0,0.004306695591665352
432,19.0,1.0,0.004329634647995045
315,14.0,4.0,0.004340564791302915
338,15.0,3.0,0.004375101680028583
108,5.0,13.0,0.004422883690386114
154,7.0,11.0,0.004428657548559789
17,1.0,18.0,0.004436880575921779
361,16.0,2.0,0.004491707433301104
292,13.0,5.0,0.004495370254408681
409,18.0,2.0,0.004531049076627436
39,2.0,16.0,0.004560174835411472
247,11.0,8.0,0.0045657606649589936
269,12.0,6.0,0.004595806876631611
385,17.0,2.0,0.004597805291567105
85,4.0,14.0,0.004598020727612618
62,3.0,15.0,0.004617561805250735
201,9.0,10.0,0.004628797134574265
408,18.0,1.0,0.004712572350518275
224,10.0,9.0,0.004736395816547639
131,6.0,12.0,0.004792480226956022
360,16.0,1.0,0.004809249447133468
291,13.0,4.0,0.004857576303511464
384,17.0,1.0,0.004867053653354019
337,15.0,2.0,0.0049218498847069005
314,14.0,3.0,0.004934012290152909
246,11.0,7.0,0.0049441157902556715
268,12.0,5.0,0.005019458325490587
177,8.0,10.0,0.005029492679925497
16,1.0,17.0,0.005064354050052802
130,6.0,11.0,0.005070942866350168
38,2.0,15.0,0.0050828014877503155
200,9.0,9.0,0.005152287879746978
25,2.0,2.0,0.0052057174892848924
107,5.0,12.0,0.005256529958802037
61,3.0,14.0,0.0052648464165770325
84,4.0,13.0,0.005285084675287875
267,12.0,4.0,0.0053303920470661
15,1.0,16.0,0.0053429524014126295
336,15.0,1.0,0.005429853279909378
153,7.0,10.0,0.0055369534764718575
245,11.0,6.0,0.005564598957150235
290,13.0,3.0,0.005565447497430128
313,14.0,2.0,0.005567869524830924
223,10.0,8.0,0.005762951609812694
14,1.0,15.0,0.0058201348407469315
37,2.0,14.0,0.00583671434329676
106,5.0,11.0,0.005864528813337725
48,3.0,1.0,0.006060695061119881
129,6.0,10.0,0.006106164987785386
312,14.0,1.0,0.006168285644259372
199,9.0,8.0,0.006221751218573575
266,12.0,3.0,0.006241126165881953
60,3.0,13.0,0.006245307442281291
289,13.0,2.0,0.0063860554774886795
176,8.0,9.0,0.006423464666336956
222,10.0,7.0,0.0064452800053479255
243,11.0,4.0,0.006455484460621007
244,11.0,5.0,0.006558451069091591
83,4.0,12.0,0.006852092950997206
152,7.0,9.0,0.006932807295133679
221,10.0,6.0,0.006957004587664645
13,1.0,14.0,0.007044496267610308
36,2.0,13.0,0.0071212105047771266
198,9.0,7.0,0.007168951951181178
82,4.0,11.0,0.007203808963648647
2,1.0,3.0,0.007568749126864791
197,9.0,6.0,0.007740318651294175
175,8.0,8.0,0.007866225775311297
105,5.0,10.0,0.007977586744011386
265,12.0,2.0,0.007991167154694476
242,11.0,3.0,0.008273809668914944
128,6.0,9.0,0.008392750796765582
288,13.0,1.0,0.008421159700439159
220,10.0,5.0,0.00867683159809249
12,1.0,13.0,0.008776307158402066
151,7.0,8.0,0.008840181346269576
59,3.0,12.0,0.008841510547409687
196,9.0,5.0,0.00955283886010698
219,10.0,4.0,0.009631100539546862
174,8.0,7.0,0.009671490316587487
58,3.0,11.0,0.009768076547198988
173,8.0,6.0,0.00996246388187319
104,5.0,9.0,0.010344682774478892
35,2.0,12.0,0.010764905814371794
127,6.0,8.0,0.011114061089648877
81,4.0,10.0,0.011245522735581305
195,9.0,4.0,0.011456757388356909
150,7.0,7.0,0.011557477076863843
241,11.0,2.0,0.011842859856938646
72,4.0,1.0,0.011943035519707105
264,12.0,1.0,0.011962778353484846
49,3.0,2.0,0.012283635135458793
149,7.0,6.0,0.0124119449581981
34,2.0,11.0,0.012423515988991655
218,10.0,3.0,0.01259067344074985
26,2.0,3.0,0.013209110769694924
103,5.0,8.0,0.014285030909320585
126,6.0,7.0,0.014719631215789753
172,8.0,5.0,0.01523120979862185
3,1.0,4.0,0.01613890232964611
11,1.0,12.0,0.01697511608036178
80,4.0,9.0,0.017080999926670542
171,8.0,4.0,0.01766973527273561
125,6.0,6.0,0.0176880469838807
57,3.0,10.0,0.01924574934693838
194,9.0,3.0,0.019999127414063823
102,5.0,7.0,0.020849150475809552
148,7.0,5.0,0.02131193053487757
73,4.0,2.0,0.021597053089390285
79,4.0,8.0,0.022264337026628837
217,10.0,2.0,0.022428130867863758
56,3.0,9.0,0.026591625135910082
147,7.0,4.0,0.027219185502399428
101,5.0,6.0,0.02919315871482665
50,3.0,3.0,0.030113421872649218
33,2.0,10.0,0.03162361095493807
124,6.0,5.0,0.031629106430645884
10,1.0,11.0,0.032394744732168544
193,9.0,2.0,0.03553742679601953
170,8.0,3.0,0.03646095459633388
4,1.0,5.0,0.037424678306438385
240,11.0,1.0,0.04466076492728885
216,10.0,1.0,0.04774351920145775
96,5.0,1.0,0.05177836035038115
55,3.0,8.0,0.05213242280820146
32,2.0,9.0,0.053359916020112995
27,2.0,4.0,0.056616389796762576
123,6.0,4.0,0.0615153750300491
146,7.0,3.0,0.07897762032651894
169,8.0,2.0,0.10306889931795264
9,1.0,10.0,0.11018010722117492
192,9.0,1.0,0.11226507423183496
100,5.0,5.0,0.12255713973456472
120,6.0,1.0,0.13231606533694704
8,1.0,9.0,0.15737159115533605
74,4.0,3.0,0.1735854292468317
28,2.0,5.0,0.19066333088104132
5,1.0,6.0,0.19960886410975315
77,4.0,6.0,0.4774489464114822
78,4.0,7.0,0.5287534893488527
97,5.0,2.0,0.8668474103492694
54,3.0,7.0,1.2033527011822964
31,2.0,8.0,1.7005096265942443
76,4.0,5.0,3.3058241050957453
145,7.0,2.0,3.3108430388574197
168,8.0,1.0,5.6841431449910615
30,2.0,7.0,9.182612942198912
51,3.0,4.0,13.297780934958473
52,3.0,5.0,21.920009005750064
99,5.0,4.0,32.08907069057804
7,1.0,8.0,36.634882448069284
144,7.0,1.0,37.87904452507528
75,4.0,4.0,38.331507042159316
98,5.0,3.0,38.54910112205075
122,6.0,3.0,41.10610137325849
6,1.0,7.0,171.97561614522948
53,3.0,6.0,215.69980902364938
29,2.0,6.0,278.9030272719167
121,6.0,2.0,287.52572657368813
