,filter len-forward,filter len-backward,avr_rmse
323,14,12,46.47499734
117,5,22,46.48630726
415,18,8,46.48796538
277,12,14,46.49358592
346,15,11,46.51100471
369,16,10,46.51940922
163,7,20,46.53796587
70,3,23,46.56181838
483,21,4,46.57984294
254,11,15,46.58533407
140,6,21,46.59228489
345,15,10,46.6007601
505,22,2,46.60175198
186,8,19,46.61286921
93,4,22,46.61430095
552,24,1,46.61906117
391,17,8,46.62620871
209,9,18,46.62999151
368,16,9,46.65635663
276,12,13,46.66174783
231,10,16,46.6676076
299,13,12,46.67724337
437,19,6,46.68086141
47,2,24,46.69578675
116,5,21,46.7100868
414,18,7,46.71464951
322,14,11,46.72104825
253,11,14,46.73526471
208,9,17,46.74073771
139,6,20,46.77135402
49,3,2,46.77387419
460,20,5,46.7951652
482,21,3,46.80688851
344,15,9,46.81496607
185,8,18,46.81826511
26,2,3,46.82733261
92,4,21,46.83809569
230,10,15,46.84046607
367,16,8,46.86595619
321,14,10,46.86850056
162,7,19,46.87664256
252,11,13,46.87951793
69,3,22,46.89004038
413,18,6,46.92300015
115,5,20,46.9246677
275,12,12,46.93342442
390,17,7,46.93714245
184,8,17,46.96214868
298,13,11,46.97025081
207,9,16,47.00102596
459,20,4,47.02041921
46,2,23,47.02926011
229,10,14,47.0378073
320,14,9,47.04410972
436,19,5,47.04930122
91,4,20,47.07560624
161,7,18,47.11732429
343,15,8,47.11881896
528,23,1,47.12340169
68,3,21,47.12740014
297,13,10,47.13563919
138,6,19,47.15362076
366,16,7,47.18336156
389,17,6,47.21107637
206,9,15,47.22244275
251,11,12,47.2228896
481,21,2,47.22866687
183,8,16,47.25182599
228,10,13,47.27440799
458,20,3,47.2800364
274,12,11,47.31675664
319,14,8,47.33153698
114,5,19,47.3333081
160,7,17,47.36976001
435,19,4,47.37488767
67,3,20,47.37670507
296,13,9,47.38370912
412,18,5,47.38544951
45,2,22,47.40295502
342,15,7,47.41448843
205,9,14,47.46599703
137,6,18,47.49363339
273,12,10,47.50929929
23,1,24,47.51991929
365,16,6,47.52533735
182,8,15,47.5478767
90,4,19,47.59589589
159,7,16,47.63259452
44,2,21,47.67013454
434,19,3,47.67300813
411,18,4,47.68350088
250,11,11,47.68712738
227,10,12,47.68855544
388,17,5,47.69829264
204,9,13,47.71079397
272,12,9,47.72196605
113,5,18,47.72414076
504,22,1,47.75685516
295,13,8,47.7652016
318,14,7,47.77562425
136,6,17,47.79740184
457,20,2,47.80027782
3,1,4,47.81390951
181,8,14,47.84143954
341,15,6,47.84712878
22,1,23,47.87370024
249,11,10,47.91009915
66,3,19,47.9118077
158,7,15,47.97753442
43,2,20,47.98636596
410,18,3,47.99366341
89,4,18,48.02641132
112,5,17,48.04100609
364,16,5,48.06107797
180,8,13,48.10689926
135,6,16,48.1082339
72,4,1,48.11004779
387,17,4,48.11783852
226,10,11,48.13836375
248,11,9,48.17010179
294,13,7,48.17845112
317,14,6,48.19007289
271,12,8,48.20076178
203,9,12,48.23093119
21,1,22,48.23197095
433,19,2,48.24272538
157,7,14,48.37498187
65,3,18,48.40105902
340,15,5,48.42043453
225,10,10,48.44238115
88,4,17,48.44340578
111,5,16,48.45026604
480,21,1,48.48000857
363,16,4,48.49007834
386,17,3,48.50916264
134,6,15,48.51338432
42,2,19,48.52135195
20,1,21,48.5430051
409,18,2,48.56523741
270,12,7,48.59422166
293,13,6,48.64507435
247,11,8,48.67682653
179,8,12,48.70912756
202,9,11,48.72007196
224,10,9,48.7208101
316,14,5,48.79510398
156,7,13,48.80729921
64,3,17,48.84730883
110,5,15,48.94318842
87,4,16,48.95969683
456,20,1,48.97065906
339,15,4,48.9725737
19,1,20,48.97759354
41,2,18,48.98057107
133,6,14,49.01375824
362,16,3,49.04235248
385,17,2,49.07740706
201,9,10,49.13461952
269,12,6,49.26723979
292,13,5,49.3037804
178,8,11,49.32690603
246,11,7,49.34047158
432,19,1,49.42225024
315,14,4,49.42885645
223,10,8,49.44812196
132,6,13,49.44880991
155,7,12,49.45927041
86,4,15,49.47410099
18,1,19,49.50897063
200,9,9,49.52323516
63,3,16,49.55188097
109,5,14,49.56614626
40,2,17,49.56937118
338,15,3,49.62237094
361,16,2,49.73418988
177,8,10,49.83057984
408,18,1,49.87371118
17,1,18,50.00134314
268,12,5,50.04737629
291,13,4,50.05363355
154,7,11,50.10493702
62,3,15,50.13728036
108,5,13,50.15683352
222,10,7,50.15890048
245,11,6,50.16336571
39,2,16,50.21428765
131,6,12,50.23035446
314,14,3,50.27944036
85,4,14,50.28620276
199,9,8,50.35791385
176,8,9,50.39032601
384,17,1,50.42456349
337,15,2,50.42866052
16,1,17,50.7108852
153,7,10,50.77372213
267,12,4,50.86065855
130,6,11,50.95132128
107,5,12,50.95560889
61,3,14,50.96880163
84,4,13,50.97503158
290,13,3,51.0048027
221,10,6,51.01940285
38,2,15,51.06055588
244,11,5,51.10158779
360,16,1,51.19519669
198,9,7,51.30817225
175,8,8,51.38107017
152,7,9,51.44976622
313,14,2,51.45477751
15,1,16,51.56776971
106,5,11,51.78151291
60,3,13,51.79579688
129,6,10,51.88619834
83,4,12,51.92466896
220,10,5,52.07796044
336,15,1,52.14924593
37,2,14,52.15798992
243,11,4,52.34642581
266,12,3,52.36644074
289,13,2,52.39145528
197,9,6,52.39273095
174,8,7,52.61085823
14,1,15,52.76011874
151,7,8,52.76621415
128,6,9,52.81193577
59,3,12,53.04708627
36,2,13,53.07206244
105,5,10,53.07468325
82,4,11,53.07879665
312,14,1,53.59667159
196,9,5,53.76553814
219,10,4,53.78003781
173,8,6,53.90021443
265,12,2,53.95131544
13,1,14,54.01566608
242,11,3,54.0894274
150,7,7,54.21981428
104,5,9,54.32327371
127,6,8,54.49571625
81,4,10,54.5169481
58,3,11,54.75598945
35,2,12,54.77179237
288,13,1,55.06822215
12,1,13,55.47895588
195,9,4,55.79158185
50,3,3,55.94346541
172,8,5,55.94649859
218,10,3,56.18440664
149,7,6,56.19820696
73,4,2,56.23026927
27,2,4,56.25162154
241,11,2,56.27679432
80,4,9,56.37524667
126,6,7,56.42927809
103,5,8,56.50429653
57,3,10,56.60276251
34,2,11,56.85350892
4,1,5,57.14572296
264,12,1,57.28922903
11,1,12,57.69395073
96,5,1,57.90797719
171,8,4,58.59974463
148,7,5,59.00274899
217,10,2,59.06299221
194,9,3,59.11695673
56,3,9,59.17299426
102,5,7,59.28030528
79,4,8,59.41032596
125,6,6,59.59123403
33,2,10,59.68313603
240,11,1,60.25928049
10,1,11,60.86445324
170,8,3,62.77708625
147,7,4,63.00746362
193,9,2,63.17696309
78,4,7,63.33942353
101,5,6,63.44966987
124,6,5,63.66282969
32,2,9,63.67518318
55,3,8,63.7111373
216,10,1,64.65749648
9,1,10,64.79421594
51,3,4,69.11999889
74,4,3,69.28501222
28,2,5,69.54125045
97,5,2,69.84691066
54,3,7,70.19824982
169,8,2,70.2831062
77,4,6,70.28639884
146,7,3,70.35468229
100,5,5,70.44017685
123,6,4,70.58286531
5,1,6,70.60161552
31,2,8,71.00189727
192,9,1,71.42844009
120,6,1,71.5044334
8,1,9,71.83367214
99,5,4,83.66969254
30,2,7,83.95242366
76,4,5,84.09692236
53,3,6,84.11898498
145,7,2,84.39344544
122,6,3,84.66106301
168,8,1,86.01720945
7,1,8,86.07372042
29,2,6,90.98634581
75,4,4,91.18895309
52,3,5,91.60288204
121,6,2,91.671834
98,5,3,92.21822987
6,1,7,92.39649188
144,7,1,93.42320492
