,total,chk_3,chk_4,ratio3
3768d1b5,,,,
4172d12a,,,,
65211855,,,,
b4ec7f4c,,,,
ad6792d3,,,,
97599c6e,,,,
d2efbe40,,,,
481765ef,,,,
b967b698,,,,
a90082f2,,,,
edc92dfe,,,,
2ad17157,,,,
95f00070,,,,
b8bf8fa8,,,,
14863645,,,,
1314e968,,,,
775629dc,,,,
d04b9274,,,,
aa560abb,,,,
f540a9b1,,,,
1f73d553,,,,
574c8dd5,,,,
7ba6c561,,,,
fbd8e6ba,,,,
efa0b9d4,,,,
0e6b89d0,,,,
227c62db,,,,
0ada2cee,,,,
ee99640d,,,,
a1f5e625,,,,
6de45e91,,,,
bb944524,,,,
761da2b8,,,,
ad490fdf,,,,
42acfae6,,,,
1c5db52b,,,,
a1ea087a,,,,
0c8682cf,,,,
6f01befe,,,,
24ddb44f,,,,
51532d59,,,,
4d0805bd,,,,
70322853,,,,
f6fda0b1,,,,
721351a4,,,,
8fa3be8c,,,,
87297a58,,,,
b4f5afce,,,,
74d2033c,,,,
7c8decb7,,,,
9b07168e,,,,
cc921bd7,,,,
112df2d8,,,,
07df5fd9,,,,
bfcd800c,,,,
b58d115a,,,,
e0fb4e72,,,,
91f59321,,,,
73fca993,,,,
0cf4d4e0,,,,
e429c67e,,,,
fcd92ce0,,,,
e8cd0dac,,,,
c9b3abbf,,,,
d396895b,,,,
73bc082f,,,,
b58d8ebb,,,,
ecdbd7e7,,,,
a62eba52,,,,
f37a619a,,,,
b065491b,,,,
23cdf362,,,,
1dc92a47,,,,
c1ad369d,,,,
e1e5d6a3,,,,
ed1d97fe,,,,
baea57ff,,,,
bd551166,,,,
5dd67ce1,,,,
13870f86,,,,
acbdb0e0,,,,
545e6ecf,,,,
05b734ec,,,,
7f3fb3dd,,,,
88c98772,,,,
cd5f0bd0,,,,
882321d4,,,,
2d17d67c,,,,
75efb9cc,,,,
cf554578,,,,
5eda564e,,,,
5ca0498a,,,,
9b23fc5b,,,,
96bbf96b,,,,
9cc77878,,,,
ec7d821a,,,,
85aab69d,,,,
469f20e1,,,,
58cdb020,,,,
c1548137,,,,
f6bf3f25,,,,
42cf65c1,,,,
6f2b3c12,,,,
859c3600,,,,
0959354c,,,,
11b61c40,,,,
f416a1c3,,,,
919705e0,,,,
a2a1d712,,,,
84341388,,,,
b72901d4,,,,
1f9a91b9,,,,
34b046fa,,,,
6ff7e34c,,,,
f29c5715,,,,
f1915396,,,,
103c81d7,,,,
42e7341c,,,,
4f11d394,,,,
0efa5021,,,,
35c73646,,,,
95f722c3,,,,
da29920e,,,,
cb69b988,,,,
d42ac9c2,,,,
9c4d2670,,,,
3e1accb0,,,,
d519cbdf,,,,
30823167,,,,
22e2eb60,,,,
