,total,chk_3,chk_4,ratio3
f6826c35,242.0,13,12,0.05371900826446281
20400899,305.0,13,11,0.04262295081967213
574d4526,243.0,18,16,0.07407407407407407
7a1d2911,288.0,12,12,0.041666666666666664
41b78f47,243.0,1,1,0.00411522633744856
b644ec05,287.0,15,12,0.05226480836236934
4e6009b8,243.0,7,6,0.02880658436213992
d8035074,286.0,6,6,0.02097902097902098
cd1b6b1a,242.0,8,7,0.03305785123966942
86751b39,287.0,9,6,0.0313588850174216
e3c00fe5,242.0,10,7,0.04132231404958678
8b577a53,287.0,7,7,0.024390243902439025
36b44537,259.0,11,8,0.04247104247104247
60b942e1,287.0,13,11,0.04529616724738676
124a4665,242.0,14,13,0.05785123966942149
7156e3e9,287.0,15,15,0.05226480836236934
f20fdca2,242.0,14,13,0.05785123966942149
dceaea66,287.0,9,6,0.0313588850174216
8b9ac31e,259.0,14,11,0.05405405405405406
16f88de5,287.0,8,7,0.027874564459930314
2821aa4a,259.0,9,9,0.03474903474903475
ee860492,287.0,8,8,0.027874564459930314
981f7135,242.0,15,12,0.06198347107438017
27e0e429,287.0,15,10,0.05226480836236934
37b45764,242.0,12,10,0.049586776859504134
6b146b64,287.0,10,10,0.03484320557491289
5db0af27,241.0,11,9,0.04564315352697095
650d984b,304.0,9,7,0.029605263157894735
1bfee669,242.0,12,12,0.049586776859504134
84d85823,286.0,12,11,0.04195804195804196
af217255,,,,
aae484eb,,,,
dedb56ab,,,,
eed0c104,,,,
30db6e72,,,,
6a255b59,,,,
06ffa910,,,,
8fa44d71,,,,
f5b8c758,,,,
edab03d4,,,,
b6440ae2,,,,
48ed963d,,,,
75299b85,,,,
0151ea77,,,,
64d62713,,,,
25783eba,,,,
2b672190,,,,
84db2619,,,,
d8778278,,,,
b9012215,,,,
7f082ff2,,,,
8f63893d,,,,
615345d7,,,,
141286a5,,,,
5282d526,,,,
ec765e3e,,,,
f74bf70a,,,,
65a307c5,,,,
e5b4a74f,,,,
84b67bd1,,,,
02809428,,,,
