,f_fwd,f_bwd,avr_rmse
555,24.0,4.0,0.03512211093509901
209,9.0,18.0,0.03514670417327355
302,13.0,15.0,0.03514689099378663
532,23.0,5.0,0.03515035944526969
165,7.0,22.0,0.03516871851240784
465,20.0,10.0,0.03520625977517275
325,14.0,14.0,0.035219186703641325
441,19.0,10.0,0.035233960028485584
95,4.0,24.0,0.03523748025878585
511,22.0,8.0,0.03528099930148993
186,8.0,19.0,0.035328744824131265
394,17.0,11.0,0.03533247110737711
118,5.0,23.0,0.03535400208335128
554,24.0,3.0,0.03538136687848216
255,11.0,16.0,0.03542864716434628
232,10.0,17.0,0.035435922197789314
417,18.0,10.0,0.03546705440495892
531,23.0,4.0,0.0354909473788412
510,22.0,7.0,0.03552515394163869
278,12.0,15.0,0.03555043588591913
71,3.0,24.0,0.03558547852361497
185,8.0,18.0,0.035593309592769885
488,21.0,9.0,0.0356125922659427
324,14.0,13.0,0.035619360674622354
141,6.0,22.0,0.03563573006788538
164,7.0,21.0,0.03564780797760418
370,16.0,11.0,0.03566195190069449
301,13.0,14.0,0.03567873794924542
347,15.0,12.0,0.03571713345155102
163,7.0,20.0,0.035718954123640886
94,4.0,23.0,0.03572153776091224
208,9.0,17.0,0.035726304200460295
530,23.0,3.0,0.035770793575885806
509,22.0,6.0,0.03580509261485878
393,17.0,10.0,0.03582421823445848
553,24.0,2.0,0.035828014893541565
508,22.0,5.0,0.035911290604451626
487,21.0,8.0,0.035923437948049565
231,10.0,16.0,0.0360003891944706
254,11.0,15.0,0.03603568435481425
162,7.0,19.0,0.036061157019751315
464,20.0,9.0,0.03606909704494059
70,3.0,23.0,0.036122580988026926
117,5.0,22.0,0.03613796583614192
140,6.0,21.0,0.036138393828399985
440,19.0,9.0,0.03615673788747015
47,2.0,24.0,0.03619863926951766
277,12.0,14.0,0.036198948435768666
300,13.0,13.0,0.036202725552382665
507,22.0,4.0,0.036209516265608255
369,16.0,10.0,0.036209650075572815
552,24.0,1.0,0.03624888188638125
486,21.0,7.0,0.036262718034384564
184,8.0,17.0,0.03627247333107877
529,23.0,2.0,0.03627604125434527
346,15.0,11.0,0.036281413013137684
139,6.0,20.0,0.03633122577314511
207,9.0,16.0,0.036349807054307966
323,14.0,12.0,0.036367622300666806
161,7.0,18.0,0.03638239866136408
463,20.0,8.0,0.03639222498923556
416,18.0,9.0,0.03644828085905608
506,22.0,3.0,0.03648085833795889
439,19.0,8.0,0.03650705005947034
485,21.0,6.0,0.03653376560533353
93,4.0,22.0,0.0365754075839485
484,21.0,5.0,0.036657549599680005
230,10.0,15.0,0.03666776727322448
253,11.0,14.0,0.036686606321937563
138,6.0,19.0,0.036706550298987416
276,12.0,13.0,0.036714709348778116
116,5.0,21.0,0.03672717684009909
462,20.0,7.0,0.03676118757741288
46,2.0,23.0,0.03678431419647954
392,17.0,9.0,0.03681043909584604
415,18.0,8.0,0.03686518167894921
528,23.0,1.0,0.0368814297986048
23,1.0,24.0,0.036894210227218456
115,5.0,20.0,0.03691360815633096
345,15.0,10.0,0.03695556831327235
183,8.0,16.0,0.03696831715444654
160,7.0,17.0,0.03697103491160838
438,19.0,7.0,0.03697834666202286
322,14.0,11.0,0.0370374739202759
69,3.0,22.0,0.03705891202892772
137,6.0,18.0,0.03707432103543705
461,20.0,6.0,0.03709641783733035
505,22.0,2.0,0.037102138671678594
206,9.0,15.0,0.03711039792095032
299,13.0,12.0,0.03712174997208593
483,21.0,4.0,0.03712850579972734
92,4.0,21.0,0.03714731539596977
252,11.0,13.0,0.03720855733090106
368,16.0,9.0,0.037229791157992784
460,20.0,5.0,0.03723177429468559
391,17.0,8.0,0.037273245849438204
114,5.0,19.0,0.03732685325085849
414,18.0,7.0,0.03739019205230566
229,10.0,14.0,0.03743716536585442
437,19.0,6.0,0.037469424125598116
91,4.0,20.0,0.03751741328671903
22,1.0,23.0,0.037550816825434215
482,21.0,3.0,0.03762296104977609
275,12.0,12.0,0.037654277549091175
136,6.0,17.0,0.037672751022940036
113,5.0,18.0,0.03769807470628134
68,3.0,21.0,0.0377009590859058
321,14.0,10.0,0.03772173405069913
367,16.0,8.0,0.037743725646443765
159,7.0,16.0,0.03774532116316362
459,20.0,4.0,0.03776760538736458
436,19.0,5.0,0.037775603441770327
45,2.0,22.0,0.03778013084788216
298,13.0,11.0,0.03779223283706458
390,17.0,7.0,0.037819242230140514
182,8.0,15.0,0.03785050518764843
90,4.0,19.0,0.037905903841408434
413,18.0,6.0,0.037907815179009485
205,9.0,14.0,0.03793488144118426
344,15.0,9.0,0.03799867906217567
228,10.0,13.0,0.038011449855399504
504,22.0,1.0,0.03804473947404443
67,3.0,20.0,0.038060384921777164
251,11.0,12.0,0.03821616825216268
412,18.0,5.0,0.03822622920058311
366,16.0,7.0,0.03823909831869887
89,4.0,18.0,0.038330442937529886
435,19.0,4.0,0.0383310274122021
389,17.0,6.0,0.03836657447894707
458,20.0,3.0,0.038371438950391065
481,21.0,2.0,0.038374649937689805
135,6.0,16.0,0.03838756498101648
112,5.0,17.0,0.038431523230443264
274,12.0,11.0,0.0384441562014494
66,3.0,19.0,0.03849060329067557
204,9.0,13.0,0.03854112991074984
44,2.0,21.0,0.03856370472888064
343,15.0,8.0,0.03857924989800675
297,13.0,10.0,0.038650049413793984
181,8.0,14.0,0.03865521347426616
158,7.0,15.0,0.03874028807952559
388,17.0,5.0,0.03877338446623133
320,14.0,9.0,0.03877962126651285
21,1.0,22.0,0.038785828652538254
365,16.0,6.0,0.03878824849498967
411,18.0,4.0,0.038808791031663986
434,19.0,3.0,0.038876218205807216
43,2.0,20.0,0.03892941838192155
65,3.0,18.0,0.03903162205298464
342,15.0,7.0,0.039081303616814535
111,5.0,16.0,0.03909795625611128
250,11.0,11.0,0.03911542919022682
88,4.0,17.0,0.03913684778352566
457,20.0,2.0,0.03919639516956064
364,16.0,5.0,0.03923590061704086
227,10.0,12.0,0.03927283356105523
387,17.0,4.0,0.03936669765412715
180,8.0,13.0,0.039373902242890516
480,21.0,1.0,0.0393768050468556
42,2.0,19.0,0.039382144112613864
319,14.0,8.0,0.039460099458412015
410,18.0,3.0,0.03953805943896313
273,12.0,10.0,0.03956496341971495
134,6.0,15.0,0.039655037607037376
341,15.0,6.0,0.03967592399847227
87,4.0,16.0,0.03969171418399478
296,13.0,9.0,0.03972934469429161
20,1.0,21.0,0.03973162049288932
25,2.0,2.0,0.039759318750696944
157,7.0,14.0,0.03976153840572985
433,19.0,2.0,0.039775332683021566
363,16.0,4.0,0.03978181267064177
203,9.0,12.0,0.03991130609473899
41,2.0,18.0,0.04001717161877464
386,17.0,3.0,0.04005897015874362
64,3.0,17.0,0.04013580332529439
318,14.0,7.0,0.040166681182571634
456,20.0,1.0,0.040180426795054416
226,10.0,11.0,0.04018800625448691
19,1.0,20.0,0.04029607761970519
340,15.0,5.0,0.040335785721884114
249,11.0,10.0,0.04042089874346555
110,5.0,15.0,0.040422789970463585
362,16.0,3.0,0.04056057557319226
409,18.0,2.0,0.0406711003513564
295,13.0,8.0,0.0407146712363941
133,6.0,14.0,0.040777279387184125
156,7.0,13.0,0.04084158716165357
272,12.0,9.0,0.040860426606029183
18,1.0,19.0,0.04089358104748018
432,19.0,1.0,0.040950033039578636
179,8.0,12.0,0.04095173195231778
317,14.0,6.0,0.0409718257979387
202,9.0,11.0,0.04105925704912697
339,15.0,4.0,0.04110114601936561
63,3.0,16.0,0.041234224304097664
385,17.0,2.0,0.041268339320009145
86,4.0,15.0,0.04129709970414768
294,13.0,7.0,0.04142903806054027
48,3.0,1.0,0.0414382946883937
40,2.0,17.0,0.04146290208122426
109,5.0,14.0,0.041701929508447234
17,1.0,18.0,0.04178706583994735
316,14.0,5.0,0.04182475294525597
248,11.0,9.0,0.041842233880401015
361,16.0,2.0,0.041897347630232194
408,18.0,1.0,0.04196297864018563
225,10.0,10.0,0.041983926490942666
271,12.0,8.0,0.04202890714275272
132,6.0,13.0,0.04211106486891534
178,8.0,11.0,0.04213530717378556
2,1.0,3.0,0.042175808793393804
338,15.0,3.0,0.04218280246704224
293,13.0,6.0,0.042368894296048065
155,7.0,12.0,0.04255039041791196
39,2.0,16.0,0.0425660272417551
384,17.0,1.0,0.042817928472788806
62,3.0,15.0,0.04283542736185452
315,14.0,4.0,0.042865974200279065
85,4.0,14.0,0.0429685555361513
270,12.0,7.0,0.042983434831788125
201,9.0,10.0,0.043052560444873385
247,11.0,8.0,0.04322076380656168
224,10.0,9.0,0.04331983780737319
108,5.0,13.0,0.04335522542362113
292,13.0,5.0,0.043410656677243545
16,1.0,17.0,0.043468514215026725
360,16.0,1.0,0.043621671246794086
154,7.0,11.0,0.043825976857459786
337,15.0,2.0,0.04383561477009622
131,6.0,12.0,0.04395792576374002
269,12.0,6.0,0.044234404068207236
314,14.0,3.0,0.044245875065153935
177,8.0,10.0,0.04433481373457487
246,11.0,7.0,0.04446418033011182
38,2.0,15.0,0.0445674836671579
291,13.0,4.0,0.044644472594353765
15,1.0,16.0,0.04464592049225894
200,9.0,9.0,0.044699528681908206
61,3.0,14.0,0.04477173038460771
84,4.0,13.0,0.04519297380684635
223,10.0,8.0,0.0452913394545206
268,12.0,5.0,0.04550724065841134
107,5.0,12.0,0.045631381909263566
130,6.0,11.0,0.04572693689571768
336,15.0,1.0,0.04599017374260637
290,13.0,3.0,0.04613569861403038
153,7.0,10.0,0.04622010009851508
245,11.0,6.0,0.04623502984429897
313,14.0,2.0,0.046362451277036816
14,1.0,15.0,0.046570485983680916
37,2.0,14.0,0.04686587306773719
267,12.0,4.0,0.04697670611031065
222,10.0,7.0,0.047001216651927684
176,8.0,9.0,0.04704311080462195
199,9.0,8.0,0.04727249430086836
60,3.0,13.0,0.0474422705403918
83,4.0,12.0,0.047963272081430176
106,5.0,11.0,0.048118667863850745
244,11.0,5.0,0.048220667573124994
129,6.0,10.0,0.04843028745028369
289,13.0,2.0,0.0487720656531791
266,12.0,3.0,0.04880857434048736
312,14.0,1.0,0.049051353763916304
221,10.0,6.0,0.04911251842957056
198,9.0,7.0,0.04967986359859276
152,7.0,9.0,0.04975567131693828
243,11.0,4.0,0.04975703044050776
13,1.0,14.0,0.049768957913489516
36,2.0,13.0,0.05005423704249345
175,8.0,8.0,0.050152338498298636
82,4.0,11.0,0.05081272248836737
49,3.0,2.0,0.05101575528996066
59,3.0,12.0,0.05124658625683487
26,2.0,3.0,0.05129845648056997
220,10.0,5.0,0.05170664543060802
197,9.0,6.0,0.051940668144843306
105,5.0,10.0,0.05196151797551488
72,4.0,1.0,0.0525750916535765
242,11.0,3.0,0.05262181135520972
265,12.0,2.0,0.05268151703941242
128,6.0,9.0,0.05288212428790347
288,13.0,1.0,0.05308190978200848
151,7.0,8.0,0.053269751757575715
3,1.0,4.0,0.053300391413097566
174,8.0,7.0,0.05354487820673085
12,1.0,13.0,0.05365207741588112
219,10.0,4.0,0.05458230589608232
58,3.0,11.0,0.05482466373707058
196,9.0,5.0,0.05523596666181806
35,2.0,12.0,0.055315869430513434
173,8.0,6.0,0.05611415116707656
81,4.0,10.0,0.056738534405761626
104,5.0,9.0,0.05710935126545541
150,7.0,7.0,0.05754516190424747
127,6.0,8.0,0.05765637995417897
241,11.0,2.0,0.05844999377904341
195,9.0,4.0,0.058591551551301475
218,10.0,3.0,0.058758905151785834
264,12.0,1.0,0.058878487378753834
34,2.0,11.0,0.0598609939094712
149,7.0,6.0,0.061297502913848535
172,8.0,5.0,0.0616236328832515
11,1.0,12.0,0.0617644478471776
126,6.0,7.0,0.06304912157486517
103,5.0,8.0,0.06323771860388548
80,4.0,9.0,0.06362636557346618
57,3.0,10.0,0.06363605974025767
217,10.0,2.0,0.0667233498630596
194,9.0,3.0,0.06708252999878336
73,4.0,2.0,0.0678813593539262
171,8.0,4.0,0.06809329905560513
50,3.0,3.0,0.06846355085850771
125,6.0,6.0,0.06918509018021245
148,7.0,5.0,0.06956312245324234
240,11.0,1.0,0.07029372007397333
27,2.0,4.0,0.0705515485331651
102,5.0,7.0,0.07080687261801331
10,1.0,11.0,0.07107632550091507
79,4.0,8.0,0.07165501500501327
4,1.0,5.0,0.07217589935026261
96,5.0,1.0,0.07261355558760123
33,2.0,10.0,0.07273115726587813
56,3.0,9.0,0.07273434765774353
147,7.0,4.0,0.07988479241225149
193,9.0,2.0,0.07998813773690952
124,6.0,5.0,0.08058721577963096
170,8.0,3.0,0.08061885892508157
101,5.0,6.0,0.08197104777625429
216,10.0,1.0,0.08342659549009293
55,3.0,8.0,0.08731456952006862
32,2.0,9.0,0.0885590520033387
9,1.0,10.0,0.0900922493107695
78,4.0,7.0,0.0952590856289588
123,6.0,4.0,0.10433299164304663
146,7.0,3.0,0.10695847504736468
74,4.0,3.0,0.10870818902221388
169,8.0,2.0,0.10880611292801244
100,5.0,5.0,0.11039103156554736
28,2.0,5.0,0.11188008683539492
120,6.0,1.0,0.1137155037354948
192,9.0,1.0,0.11430976106090375
77,4.0,6.0,0.11947164614208387
8,1.0,9.0,0.12049794154527375
5,1.0,6.0,0.12277954727580917
97,5.0,2.0,0.12312386244811305
54,3.0,7.0,0.12948355881680024
31,2.0,8.0,0.13578591270400744
51,3.0,4.0,0.16270902182616734
145,7.0,2.0,0.27565583598342897
168,8.0,1.0,0.3098118824331349
76,4.0,5.0,0.31282940562688993
30,2.0,7.0,0.32744555242317064
122,6.0,3.0,0.34435476492052963
99,5.0,4.0,0.3464993657535859
7,1.0,8.0,0.4102471899113712
52,3.0,5.0,0.4761555104060564
98,5.0,3.0,0.4839675752100584
144,7.0,1.0,0.4905991749987239
75,4.0,4.0,0.4961472819419219
6,1.0,7.0,0.6778842980625888
29,2.0,6.0,0.698625280685474
121,6.0,2.0,0.7924293213438398
53,3.0,6.0,0.8006290776960538
