,total,chk_3,chk_4,ratio3
113d5ff3,213.0,23,20,0.107981220657277
d46cf01e,211.0,18,14,0.08530805687203792
76b0c465,213.0,21,17,0.09859154929577464
8c755cbd,214.0,23,23,0.10747663551401869
42f4da46,214.0,27,20,0.1261682242990654
cf1651fa,214.0,19,16,0.08878504672897196
2a0f3217,211.0,17,15,0.08056872037914692
1db622e5,211.0,21,21,0.0995260663507109
a4625305,213.0,22,19,0.10328638497652583
e6be6e37,211.0,19,15,0.09004739336492891
5db7ef61,212.0,22,17,0.10377358490566038
b12ae41f,220.0,33,31,0.15
640832fb,229.0,23,21,0.10043668122270742
60c59806,232.0,24,19,0.10344827586206896
d0840b81,213.0,30,25,0.14084507042253522
fad35d42,212.0,22,21,0.10377358490566038
4b0640c9,214.0,22,22,0.102803738317757
684cf00d,214.0,16,14,0.07476635514018691
6017fce4,214.0,25,24,0.11682242990654206
db666807,214.0,25,22,0.11682242990654206
dff5bbcd,214.0,26,22,0.12149532710280374
3843642f,214.0,22,21,0.102803738317757
b9dd246e,213.0,26,20,0.12206572769953052
3027b7ce,215.0,15,13,0.06976744186046512
efcccd17,212.0,25,22,0.1179245283018868
2b518082,212.0,18,15,0.08490566037735849
5f7a750d,213.0,17,15,0.07981220657276995
19352a8e,214.0,17,14,0.0794392523364486
12d584d2,214.0,24,24,0.11214953271028037
4446cf7f,214.0,20,17,0.09345794392523364
f6997b92,,,,
904a4a72,,,,
fd8dc3e0,,,,
7f116938,,,,
2bfa2246,,,,
c01ea004,,,,
acf9843c,,,,
6748d8f8,,,,
4112f9a1,,,,
ef34fc30,,,,
a8719338,,,,
3fffe64a,,,,
5061727a,,,,
dc428557,,,,
44ae0483,,,,
7479b69d,,,,
c9dcfc70,,,,
40b647b9,,,,
fcb369ec,,,,
c09d78c2,,,,
d349c901,,,,
2e22133d,,,,
234f4371,,,,
ed856ea0,,,,
5e539786,,,,
8702aa5f,,,,
5f669421,,,,
208c1fb0,,,,
2c007361,,,,
73ff25aa,,,,
27e8fe85,,,,
19293620,,,,
fc08d78e,,,,
c436cf9d,,,,
b36e75d8,,,,
7af00865,,,,
3b09d50f,,,,
519362a8,,,,
55cc139f,,,,
56840633,,,,
b9017163,,,,
6717bfde,,,,
ecd052e8,,,,
3f7fb8f5,,,,
7de05fb3,,,,
3567e8de,,,,
ca4f4b52,,,,
a000aa66,,,,
e11dbd9b,,,,
e7c8fc65,,,,
e9d3b182,,,,
4046b5e1,,,,
7d854042,,,,
e61a567e,,,,
000792b7,,,,
7d7b9afb,,,,
2d4ef646,,,,
7388a104,,,,
d88f1b45,,,,
7865683a,,,,
2a92c9ca,,,,
b603c2bf,,,,
4a091344,,,,
d5924302,,,,
9179b0ff,,,,
f6d1bfe3,,,,
d1a3061a,,,,
53fc7fc2,,,,
aaf32817,,,,
7228bfba,,,,
4b43f3d4,,,,
a200979d,,,,
05c13f86,,,,
bcbef991,,,,
9fd146ac,,,,
f78fed57,,,,
83caa76d,,,,
4ebb58f0,,,,
259ec03d,,,,
5e53f116,,,,
88e88df7,,,,
0d1d38ac,,,,
78b76e75,,,,
96504178,,,,
12609d9c,,,,
04a2d643,,,,
d83f977e,,,,
5a7cbde6,,,,
8cc96b96,,,,
cad13ad9,,,,
5304bf02,,,,
a1d15342,,,,
e2b828c0,,,,
b9f01c93,,,,
fb6c23c1,,,,
d5da4af5,,,,
4662e42e,,,,
3d2a7651,,,,
2b32d105,,,,
3c65de34,,,,
7f900962,,,,
b1826dc1,,,,
8288dd15,,,,
3c34fde4,,,,
b112d4a5,,,,
e2bc0ca1,,,,
66c24f01,,,,
f4766660,,,,
acf68c9b,,,,
d08256c2,,,,
d8a2f237,,,,
f5e0bb8b,,,,
7da928c9,,,,
fb9ee5a6,,,,
e65b35d1,,,,
ff42af2c,,,,
70c84ba3,,,,
97cda52c,,,,
bd8c0c6a,,,,
31e5b0ad,,,,
352e9aa1,,,,
b0623608,,,,
6dc6dc5c,,,,
2babe7c0,,,,
7d67da53,,,,
f22da4e5,,,,
6d1a5630,,,,
222a65f5,,,,
d5789f29,,,,
99f5ce90,,,,
dd93b126,,,,
78cf472d,,,,
f09a1913,,,,
5d5680fd,,,,
3bbdbc81,,,,
dd647c34,,,,
d50f99f2,,,,
6f60978f,,,,
9b38d3f0,,,,
4612544c,,,,
abe509d4,,,,
d2c9534c,,,,
76d41046,,,,
5535e5a9,,,,
f90aac39,,,,
81bb85d2,,,,
1e958c83,,,,
e7bedf1f,,,,
6c607563,,,,
f5b3b0d7,,,,
6f35a6cb,,,,
550db4da,,,,
b894ca48,,,,
f8541be9,,,,
c517ea67,,,,
aa69b713,,,,
63aa2424,,,,
37d99d6c,,,,
cde28730,,,,
2d3bcb34,,,,
8c074100,,,,
8e42f6df,,,,
3faee883,,,,
eeecbfed,,,,
90e9fb58,,,,
9754bde6,,,,
8cc98af8,,,,
552777e9,,,,
0ebbefc8,,,,
6c7b40ef,,,,
e2a1edd9,,,,
dfa33724,,,,
d9e116ba,,,,
170ac973,,,,
9247a369,,,,
728f7881,,,,
27e8b661,,,,
807647fb,,,,
98496dfd,,,,
14366701,,,,
7b9b28a6,,,,
eb4ff605,,,,
15d20fd3,,,,
7c596d2d,,,,
3a8c612d,,,,
fe426f1c,,,,
36e240f2,,,,
592b84fa,,,,
0f4dbbc8,,,,
ef7efa8b,,,,
db040616,,,,
7e053e82,,,,
ca9e72f4,,,,
c0724a65,,,,
6306537b,,,,
041db1c9,,,,
26b03dea,,,,
d2adaf70,,,,
8f1d099d,,,,
bbd08840,,,,
9643a8c6,,,,
9eb6cd31,,,,
128d205b,,,,
40249e0b,,,,
1274b163,,,,
8eb67d8f,,,,
ab03b459,,,,
738ff75b,,,,
dee9c73c,,,,
7dc26c0b,,,,
0b8b9b4a,,,,
63db5dfc,,,,
1eacd311,,,,
2b39d90a,,,,
75083449,,,,
c0a56ac8,,,,
b18a833d,,,,
c67a0a65,,,,
6f9d0adb,,,,
f9451f3e,,,,
857c9201,,,,
6b62f860,,,,
d8656260,,,,
312dd30a,,,,
83d7deae,,,,
27c73228,,,,
5ee3994e,,,,
041c1f3c,,,,
4483003b,,,,
afe7546f,,,,
9e0f8d43,,,,
671195d2,,,,
33b765a1,,,,
2a1936fa,,,,
0bf63158,,,,
4ee28d76,,,,
859c221f,,,,
30348c39,,,,
34824b50,,,,
4ccbeafd,,,,
25ca23ea,,,,
a0d23c0f,,,,
eb714ce6,,,,
b0334a6c,,,,
27d0e58e,,,,
34517688,,,,
31487ae3,,,,
89279bf5,,,,
09233939,,,,
f2b36907,,,,
27ebb277,,,,
756889e8,,,,
92c82442,,,,
485df668,,,,
ea2c38cc,,,,
08c1d05b,,,,
ffdba628,,,,
854f5576,,,,
b9d88953,,,,
c688df7d,,,,
db101677,,,,
01152081,,,,
28576aa5,,,,
e1960879,,,,
0b687319,,,,
571e0ab2,,,,
104b5f3a,,,,
9f2c40b9,,,,
cd197354,,,,
2e9823b9,,,,
4f5992ad,,,,
352c2e49,,,,
948b653e,,,,
599a1940,,,,
dd010645,,,,
5aa00a49,,,,
