,total,chk_3,chk_4,ratio3
fe01a692,,,,
35e514f3,,,,
d6840df0,,,,
e7bf66d2,,,,
bece1b22,,,,
b6aa7dd7,,,,
2e14fab8,,,,
4d2e309f,,,,
7d57da64,,,,
2a9698f6,,,,
8e3a5ead,,,,
c20267fc,,,,
21bc0511,,,,
a2d2508a,,,,
f0499558,,,,
fb1cf968,,,,
27cb6c32,,,,
19380f94,,,,
7f4c8606,,,,
dc60b633,,,,
9c32f0c5,,,,
455b557a,,,,
663dd2d9,,,,
89d81bb3,,,,
d5dfb1f7,,,,
dadd3d65,,,,
603fd1cb,,,,
1cbd65fe,,,,
29de84b4,,,,
52234fbc,,,,
17c0a1e4,,,,
25cb6dde,,,,
d02c28bc,,,,
53360690,,,,
5631736d,,,,
e3003e5b,,,,
a7a0990f,,,,
38c38259,,,,
0687d3b5,,,,
da6f9326,,,,
2a27476f,,,,
394f89e8,,,,
05fd5f1e,,,,
9e3c3cde,,,,
a4fa9cc9,,,,
141ce83f,,,,
27560f4f,,,,
1a16e11e,,,,
c7d997a4,,,,
7df0ccc3,,,,
c1581208,,,,
0087ab7e,,,,
7a2d053b,,,,
94d31b61,,,,
8fe8e3f0,,,,
63e1b73c,,,,
5f35f20a,,,,
aa2386ed,,,,
8a2bce98,,,,
c890535b,,,,
8b7a2d31,,,,
92e8a662,,,,
ad94ed2a,,,,
79a4ab85,,,,
36e25581,,,,
bf72d7e0,,,,
9beb0aac,,,,
c93da874,,,,
fc87679e,,,,
cd2f18eb,,,,
b6e0c5c5,,,,
d7383454,,,,
6faf6aff,,,,
70ea992a,,,,
acf1cee2,,,,
fc38884e,,,,
daf6ee8e,,,,
386f377a,,,,
716ea633,,,,
881fcaaa,,,,
fb62d791,,,,
c09823df,,,,
05b47ec3,,,,
fa83bf80,,,,
8ea482ae,,,,
78d646e5,,,,
523d0d9c,,,,
8a726a95,,,,
cc560524,,,,
942a2dad,,,,
778dbca0,,,,
b5f74f63,,,,
aa7cfd4a,,,,
aa7d5a4e,,,,
332ed0de,,,,
1fb460c9,,,,
aa81d70f,,,,
10b724da,,,,
d8232eac,,,,
e5331055,,,,
6a7d6283,,,,
58c62097,,,,
e14d5b1b,,,,
63c3e2e5,,,,
87a954ac,,,,
ef45f293,,,,
6e1c3c1e,,,,
b67e4e80,,,,
dc9436f3,,,,
2dde9ffd,,,,
6081e3a3,,,,
88517a7b,,,,
3a5eed24,,,,
92922942,,,,
4bae796d,,,,
8bfa0b1f,,,,
c9183b3f,,,,
4639da9a,,,,
a8d675e4,,,,
2951289b,,,,
7fbec52a,,,,
69c692fc,,,,
019834fd,,,,
0f10dafd,,,,
7027e917,,,,
f223c323,,,,
ef427248,,,,
f7caea5c,,,,
f7f5db17,,,,
1f2d966f,,,,
e8c12cfe,,,,
89c7d5e6,,,,
f7d6fdfb,,,,
92167b18,,,,
07a39333,,,,
67af94a9,,,,
90e920b3,,,,
5eafc80e,,,,
ad0aceb5,,,,
2e8f26d7,,,,
976b5aa1,,,,
aaef6724,,,,
f1e9a803,,,,
a5796ae3,,,,
d06cb7de,,,,
02306955,,,,
e1e340d1,,,,
f7f19ef9,,,,
