,total,chk_3,chk_4,ratio3
be759e80,324.0,23,16,0.07098765432098765
6d02dce6,322.0,15,14,0.046583850931677016
3ffd7c16,329.0,21,16,0.06382978723404255
88cd15d4,331.0,31,22,0.09365558912386707
4d80f159,329.0,24,20,0.0729483282674772
00950546,329.0,21,16,0.06382978723404255
bf2a8a53,330.0,16,15,0.048484848484848485
95d6756a,329.0,24,23,0.0729483282674772
55a6e7d5,329.0,27,17,0.08206686930091185
8f252a4c,330.0,25,18,0.07575757575757576
4ee46d2d,330.0,21,14,0.06363636363636363
873e7958,330.0,23,12,0.0696969696969697
7149e5ab,329.0,24,21,0.0729483282674772
84ad7172,330.0,17,11,0.051515151515151514
069fca09,327.0,33,21,0.10091743119266056
91558230,329.0,19,13,0.057750759878419454
67fb6b4e,329.0,35,27,0.10638297872340426
da1e8134,330.0,28,22,0.08484848484848485
fb4ad034,330.0,29,20,0.08787878787878788
44e02b5e,329.0,25,18,0.07598784194528875
afcc8d2a,330.0,21,17,0.06363636363636363
7e9c7f3c,329.0,23,18,0.06990881458966565
50707533,327.0,21,18,0.06422018348623854
7f722877,329.0,13,11,0.03951367781155015
7e545da2,329.0,15,12,0.04559270516717325
08f811e8,330.0,21,16,0.06363636363636363
b90e9ffc,329.0,27,20,0.08206686930091185
50bf3076,330.0,23,18,0.0696969696969697
d30dc9a1,331.0,28,22,0.08459214501510574
0700f250,330.0,24,20,0.07272727272727272
2e03a692,,,,
fb2de801,,,,
c5e66f61,,,,
a3cf4509,,,,
c105c81a,,,,
9cc59380,,,,
9bd5de3c,,,,
5214cf69,,,,
9fe258dc,,,,
252449ac,,,,
86de79d5,,,,
10a3f69e,,,,
3bd81eaa,,,,
57f47e5f,,,,
a8d1b691,,,,
243bfc4a,,,,
eb1ca1f3,,,,
3fea57a9,,,,
8ffd0471,,,,
8248824b,,,,
dc74d668,,,,
f24841ec,,,,
2554d367,,,,
93dd8800,,,,
441b2d50,,,,
29a07371,,,,
c1cf12cb,,,,
72878779,,,,
3634c6e1,,,,
82def6e4,,,,
8c73ebb1,,,,
2f212467,,,,
bff66351,,,,
a003e18b,,,,
d90def48,,,,
788f1c0e,,,,
0fa185e5,,,,
3173eddf,,,,
db5bf7fb,,,,
22006d9f,,,,
7428ec25,,,,
1a6ebb97,,,,
29bed96e,,,,
bb961a01,,,,
e58d80ec,,,,
2568fe6f,,,,
92c1f339,,,,
85e24103,,,,
d70fcc37,,,,
e5f30a7d,,,,
7fb331a0,,,,
3b9896bc,,,,
1666bb8c,,,,
81ab9055,,,,
dd2c72a1,,,,
0f4f32f7,,,,
22375e4b,,,,
cdfdad1f,,,,
bddde1ee,,,,
5ddafb6f,,,,
6df63300,,,,
a8ec8d24,,,,
7e75ca59,,,,
246599c3,,,,
08bf7663,,,,
a2b16d19,,,,
8429e20e,,,,
d54aa1fc,,,,
8c005c00,,,,
04b306ba,,,,
791d591b,,,,
5dbdd995,,,,
5a82b92d,,,,
6bafed9c,,,,
ce4ef9ca,,,,
5bae2ed4,,,,
0e7f06ed,,,,
47667b57,,,,
babd74d8,,,,
eaa589fe,,,,
da68eda0,,,,
50f4dd7e,,,,
74943c86,,,,
fe846cc4,,,,
