,f_fwd,f_bwd,avr_mse,avr_rmse,avr_smape
407,17.0,24.0,0.05883559721711693,0.18935515350979862,45.3301044822597
408,18.0,1.0,0.08484004191527844,0.21368151759312648,49.92515150528235
409,18.0,2.0,0.08134694554041992,0.21004624327251412,49.35019205563653
410,18.0,3.0,0.07950343919752188,0.20766472282860518,48.66985276161088
411,18.0,4.0,0.07601106888604653,0.20561116988400935,48.40001186186106
412,18.0,5.0,0.0722182952331763,0.20276862155564376,47.98315414349669
413,18.0,6.0,0.06993292642451904,0.20107491793863227,47.47852594920418
414,18.0,7.0,0.06927171263864386,0.20031394063489685,47.24628069933344
415,18.0,8.0,0.06796859846442947,0.1988813144889803,46.838949025541254
416,18.0,9.0,0.06642714860633844,0.19747376683934056,46.62346460548638
417,18.0,10.0,0.06544368227653957,0.19601309442022097,46.32529227702111
418,18.0,11.0,0.06566015452593961,0.19593926836164796,46.39696826825877
419,18.0,12.0,0.0645836536995905,0.1950788244398497,46.289761756169156
420,18.0,13.0,0.06430966666419165,0.19488131431389677,46.174616275040115
421,18.0,14.0,0.06310343514694493,0.19371421886815227,45.96739525497414
422,18.0,15.0,0.062400959597235836,0.19334121635750523,46.007265872634456
423,18.0,16.0,0.061815711700035664,0.19302522732418215,46.06687471235615
424,18.0,17.0,0.061386594173525544,0.1921535176642603,45.9138532096007
425,18.0,18.0,0.060921612074456975,0.1914432623287283,45.73699084266388
426,18.0,19.0,0.060044136484386654,0.19095792702652656,45.603700696913656
427,18.0,20.0,0.05973761411102216,0.1906072373613019,45.56110916776436
428,18.0,21.0,0.05981563328985613,0.19096066485526267,45.57385349213602
429,18.0,22.0,0.05965077820611485,0.19061332279754242,45.371076715184735
430,18.0,23.0,0.0591105915366141,0.1897783781193717,45.27497160148139
431,18.0,24.0,0.05873761781715449,0.1892397295920473,45.215910043968265
432,19.0,1.0,0.08217781207177595,0.21154271996501262,49.4342417091377
433,19.0,2.0,0.07840605812093705,0.20768855564331226,48.81232964180605
434,19.0,3.0,0.07595808345501757,0.20499772338923755,48.17975985499911
435,19.0,4.0,0.07193043616592197,0.20276916628453165,47.87640001783458
436,19.0,5.0,0.06925788167069917,0.200317420912585,47.44413064148324
437,19.0,6.0,0.06721088026115397,0.1986731376594858,47.071361569121095
438,19.0,7.0,0.06657852701060024,0.1979015656624786,46.81120819583196
