,filter len-forward,filter len-backward,avr_mse
369,16,10,0.066848525
162,7,19,0.066972999
392,17,9,0.066989544
461,20,6,0.066997225
437,19,6,0.066997567
323,14,12,0.067143202
230,10,15,0.067211005
253,11,14,0.067211801
553,24,2,0.06726121
414,18,7,0.067349756
346,15,11,0.067378551
139,6,20,0.067442357
47,2,24,0.067524495
530,23,3,0.067535079
276,12,13,0.067632399
207,9,16,0.067658023
507,22,4,0.067664149
391,17,8,0.067783725
116,5,21,0.067813208
299,13,12,0.06781619
70,3,23,0.067852825
484,21,5,0.06796817
184,8,17,0.06800012
93,4,22,0.068092268
413,18,6,0.068108669
368,16,9,0.068176011
345,15,10,0.068287379
229,10,14,0.068406992
161,7,18,0.068485
206,9,15,0.068579541
390,17,7,0.06863322
322,14,11,0.068671816
529,23,2,0.068708829
252,11,13,0.068853439
367,16,8,0.068992948
275,12,12,0.069209044
138,6,19,0.069241765
436,19,5,0.069276223
183,8,16,0.069295752
298,13,11,0.069344899
460,20,5,0.069427832
389,17,6,0.069432105
321,14,10,0.069486493
344,15,9,0.069499434
92,4,21,0.069770611
366,16,7,0.069778715
115,5,20,0.069792484
46,2,23,0.069804963
506,22,3,0.069854887
205,9,14,0.069944043
483,21,4,0.069967068
552,24,1,0.070005732
69,3,22,0.070033467
297,13,10,0.070040229
160,7,17,0.070044656
228,10,13,0.070279346
343,15,8,0.070395206
251,11,12,0.070541615
182,8,15,0.070575658
412,18,5,0.070589879
320,14,9,0.070690122
365,16,6,0.070814706
274,12,11,0.07085612
137,6,18,0.070934292
505,22,2,0.0712458
23,1,24,0.071351621
342,15,7,0.071387823
159,7,16,0.071439474
459,20,4,0.07154775
528,23,1,0.071584444
319,14,8,0.071592472
296,13,9,0.071656065
435,19,4,0.071682379
273,12,10,0.071697236
114,5,19,0.071976616
388,17,5,0.072030858
68,3,21,0.072104599
181,8,14,0.072172954
45,2,22,0.072200585
250,11,11,0.072220162
136,6,17,0.072296234
91,4,20,0.072304594
318,14,7,0.072343612
482,21,3,0.072352369
227,10,12,0.0723995
341,15,6,0.072427722
204,9,13,0.072539901
295,13,8,0.072696373
158,7,15,0.073180604
249,11,10,0.073203702
272,12,9,0.073530586
411,18,4,0.073565005
113,5,18,0.073592773
22,1,23,0.073604827
364,16,5,0.073789631
317,14,6,0.073827971
294,13,7,0.073875176
481,21,2,0.073886284
135,6,16,0.073933044
226,10,11,0.074149318
504,22,1,0.074348312
44,2,21,0.074642853
112,5,17,0.074668541
25,2,2,0.074859813
271,12,8,0.074981635
387,17,4,0.075069908
90,4,19,0.075098411
225,10,10,0.075216491
458,20,3,0.075414577
67,3,20,0.075420429
203,9,12,0.075436273
434,19,3,0.075437513
180,8,13,0.075480782
248,11,9,0.07551327
293,13,6,0.075524476
157,7,14,0.075561269
340,15,5,0.075751186
433,19,2,0.076451889
21,1,22,0.076516649
134,6,15,0.076532099
270,12,7,0.07655392
89,4,18,0.076583085
457,20,2,0.076872131
363,16,4,0.076956986
202,9,11,0.077113029
111,5,16,0.077248133
410,18,3,0.077272633
480,21,1,0.07737848
247,11,8,0.077936971
316,14,5,0.078161588
409,18,2,0.078231795
43,2,20,0.078470181
224,10,9,0.078475136
88,4,17,0.078523811
269,12,6,0.078710513
201,9,10,0.078869716
66,3,19,0.078998157
179,8,12,0.079129989
156,7,13,0.079365725
20,1,21,0.079429894
133,6,14,0.079535838
386,17,3,0.079622893
292,13,5,0.079746637
48,3,1,0.079821183
65,3,18,0.080115995
456,20,1,0.080578249
110,5,15,0.080662418
246,11,7,0.080873154
87,4,16,0.081132162
339,15,4,0.081224526
178,8,11,0.081352934
223,10,8,0.081575102
432,19,1,0.081696207
385,17,2,0.08173413
200,9,9,0.081904818
64,3,17,0.082051301
42,2,19,0.082204979
41,2,18,0.083027723
155,7,12,0.083081237
362,16,3,0.083284629
132,6,13,0.08345706
177,8,10,0.083900013
315,14,4,0.083914694
268,12,5,0.083918435
245,11,6,0.084406527
408,18,1,0.084432985
109,5,14,0.084454548
