,f_fwd,f_bwd,avr_smape
189,8.0,22.0,21.820374375605212
257,11.0,18.0,21.823145886873263
536,23.0,9.0,21.82569760236936
280,12.0,17.0,21.870811923118662
372,16.0,13.0,21.88060263029903
212,9.0,21.0,21.897283164723557
234,10.0,19.0,21.89985323743325
166,7.0,23.0,21.906459748775465
395,17.0,12.0,21.937060721461133
303,13.0,16.0,21.940913146103888
559,24.0,8.0,21.953764803824924
489,21.0,10.0,21.971909510466357
143,6.0,24.0,21.98347941084455
535,23.0,8.0,21.99236721731969
211,9.0,20.0,21.997827347330848
349,15.0,14.0,22.007356685474416
233,10.0,18.0,22.024780770979586
326,14.0,15.0,22.06060675028866
466,20.0,11.0,22.074093934594803
188,8.0,21.0,22.080030253152824
558,24.0,7.0,22.084123557573747
512,22.0,9.0,22.09004286490877
256,11.0,17.0,22.095694436190303
210,9.0,19.0,22.111601837712406
142,6.0,23.0,22.132860617729467
165,7.0,22.0,22.14726084259447
534,23.0,7.0,22.151572072422763
187,8.0,20.0,22.16764009588742
442,19.0,11.0,22.17058548810504
279,12.0,16.0,22.187659195480105
119,5.0,24.0,22.18924255192152
418,18.0,11.0,22.19179208595606
371,16.0,12.0,22.204833356315536
511,22.0,8.0,22.241485662164177
348,15.0,13.0,22.24410673209412
465,20.0,10.0,22.24410687354728
209,9.0,18.0,22.245426327366577
557,24.0,6.0,22.251300940808
302,13.0,15.0,22.270733180893288
186,8.0,19.0,22.29496857147852
325,14.0,14.0,22.32184690019002
488,21.0,9.0,22.328548477601384
533,23.0,6.0,22.333260705049184
441,19.0,10.0,22.334991464240364
232,10.0,17.0,22.338553903941683
95,4.0,24.0,22.34761966082828
394,17.0,11.0,22.348198860710827
556,24.0,5.0,22.358877995649628
118,5.0,23.0,22.360011952715773
417,18.0,10.0,22.37177015816323
141,6.0,22.0,22.40130293917329
255,11.0,16.0,22.425013493971726
532,23.0,5.0,22.446019263023864
185,8.0,18.0,22.472689390564106
510,22.0,7.0,22.479107439305878
164,7.0,21.0,22.495132551993976
208,9.0,17.0,22.508159229195552
487,21.0,8.0,22.516278344038025
278,12.0,15.0,22.524445231483924
393,17.0,10.0,22.535903334064173
163,7.0,20.0,22.55362054320374
94,4.0,23.0,22.554080875061217
555,24.0,4.0,22.555546628942967
71,3.0,24.0,22.5612190039161
324,14.0,13.0,22.562535023590776
301,13.0,14.0,22.583588810722407
347,15.0,12.0,22.612844955661092
370,16.0,11.0,22.625836024915362
464,20.0,9.0,22.62819459766832
531,23.0,4.0,22.650016930727833
117,5.0,22.0,22.658876964894514
509,22.0,6.0,22.66455858373641
231,10.0,16.0,22.676798907187123
162,7.0,19.0,22.704697595128774
140,6.0,21.0,22.75955046979809
440,19.0,9.0,22.76372229874005
554,24.0,3.0,22.76665929174324
184,8.0,17.0,22.77505187892241
463,20.0,8.0,22.77687127621942
486,21.0,7.0,22.77880014543478
70,3.0,23.0,22.783196173708554
508,22.0,5.0,22.798017718188266
254,11.0,15.0,22.802191793187408
161,7.0,18.0,22.828446102448677
416,18.0,9.0,22.846188015056327
530,23.0,3.0,22.855398364886085
369,16.0,10.0,22.864983477839953
207,9.0,16.0,22.870049947985567
139,6.0,20.0,22.882381154008087
300,13.0,13.0,22.883324451548713
93,4.0,22.0,22.889650107149702
277,12.0,14.0,22.913815875411352
439,19.0,8.0,22.91821811120165
47,2.0,24.0,22.9415696328227
323,14.0,12.0,22.95144249228659
485,21.0,6.0,22.962805502426647
553,24.0,2.0,22.97952342667718
392,17.0,9.0,22.98576630494169
462,20.0,7.0,22.99773116053441
346,15.0,11.0,22.999234466978635
138,6.0,19.0,23.0194826282666
507,22.0,4.0,23.03670653768255
116,5.0,21.0,23.065463601759763
415,18.0,8.0,23.065540375674928
160,7.0,17.0,23.07550267042232
230,10.0,15.0,23.111282245173502
484,21.0,5.0,23.11663572426145
529,23.0,2.0,23.11870297343177
46,2.0,23.0,23.120518346782326
438,19.0,7.0,23.13069237894725
25,2.0,2.0,23.144932574358894
69,3.0,22.0,23.148366923780106
115,5.0,20.0,23.15203659388792
183,8.0,16.0,23.15800755429202
137,6.0,18.0,23.164228189710215
253,11.0,14.0,23.18118578644573
461,20.0,6.0,23.19908530819023
506,22.0,3.0,23.22391694983123
276,12.0,13.0,23.242856814343646
391,17.0,8.0,23.25171237029425
92,4.0,21.0,23.275392237640535
345,15.0,10.0,23.301328862273607
114,5.0,19.0,23.320572171677252
414,18.0,7.0,23.33122509409646
368,16.0,9.0,23.334692647516942
552,24.0,1.0,23.339252303441228
460,20.0,5.0,23.342986394854346
299,13.0,12.0,23.36190653511909
206,9.0,15.0,23.379168918878328
483,21.0,4.0,23.38904762771793
322,14.0,11.0,23.389073389932445
437,19.0,6.0,23.409858303243364
23,1.0,24.0,23.425110618054713
91,4.0,20.0,23.439630706733986
136,6.0,17.0,23.443676072511767
