,total,chk_3,chk_4,ratio3
79e51a5f,295.0,35,25,0.11864406779661017
310cdfe2,296.0,20,16,0.06756756756756757
a1577c8e,298.0,38,32,0.12751677852348994
a902cc9c,295.0,22,16,0.07457627118644068
3dccb64d,295.0,25,18,0.0847457627118644
e6494ab7,296.0,34,21,0.11486486486486487
ab06cedb,284.0,17,15,0.05985915492957746
f1a118de,298.0,32,25,0.10738255033557047
7e7e5d16,299.0,33,25,0.11036789297658862
32c2fb4c,285.0,22,18,0.07719298245614035
9f840431,296.0,25,17,0.08445945945945946
c352731b,297.0,22,16,0.07407407407407407
e2cc42b5,296.0,36,27,0.12162162162162163
4cedb920,296.0,43,35,0.14527027027027026
8b38899a,297.0,16,12,0.05387205387205387
0c7eae5d,296.0,20,18,0.06756756756756757
09554d70,285.0,18,13,0.06315789473684211
fd65e904,285.0,26,19,0.0912280701754386
68d3ca22,286.0,18,13,0.06293706293706294
52d931b7,284.0,28,21,0.09859154929577464
2df8efd0,284.0,22,13,0.07746478873239436
42890629,304.0,28,20,0.09210526315789473
6bee535e,285.0,20,18,0.07017543859649122
7fe7e8b8,290.0,17,10,0.05862068965517241
f4c2edbc,295.0,29,26,0.09830508474576272
92d814fd,298.0,37,26,0.12416107382550336
6d574c73,297.0,32,24,0.10774410774410774
71c8ef24,295.0,24,17,0.08135593220338982
fe8cc714,297.0,27,19,0.09090909090909091
91bbb702,297.0,30,25,0.10101010101010101
9dfe6562,,,,
a14140a7,,,,
7185b0ec,,,,
82a23479,,,,
5608b417,,,,
d520c983,,,,
507e20c8,,,,
4fa8d832,,,,
30e42e18,,,,
5c626a89,,,,
0d8da89a,,,,
ce6df9dc,,,,
326633ab,,,,
e74ca7cb,,,,
71bc9633,,,,
e49c7a85,,,,
e884a02d,,,,
057abd92,,,,
c9f51e1f,,,,
76b579bd,,,,
8a4f00c7,,,,
39978868,,,,
1e35bb0b,,,,
a590608b,,,,
82d6aeb5,,,,
bde58aeb,,,,
13be8337,,,,
0d2b3eaf,,,,
1de8dba1,,,,
e1b8c876,,,,
5168d57a,,,,
86a5b126,,,,
ac1931a3,,,,
7141385e,,,,
8dc9b75b,,,,
0f190b4f,,,,
7b392104,,,,
5d33bfa2,,,,
608158f8,,,,
5e003089,,,,
0cab4a14,,,,
51664cfa,,,,
2f2cb957,,,,
9b79d36d,,,,
919f1f3e,,,,
58710760,,,,
41324ad4,,,,
09d3199a,,,,
2006f6b1,,,,
396c3721,,,,
931ea927,,,,
849e86b5,,,,
a65352aa,,,,
1ddc126e,,,,
7d5e9c8f,,,,
ac242f88,,,,
7263c81b,,,,
14c599d3,,,,
49df97da,,,,
404794ee,,,,
ab886c9b,,,,
9bec8834,,,,
94a3dc84,,,,
4955d07e,,,,
3a8761c7,,,,
d3fd0755,,,,
d8d9e61a,,,,
e954ab4a,,,,
9a70a270,,,,
fa6c18c1,,,,
4060a557,,,,
dc729621,,,,
8e418eae,,,,
f2d04aa5,,,,
38a43c95,,,,
201e12a4,,,,
bec3c25e,,,,
ce0f356d,,,,
43e7a0a6,,,,
af20051a,,,,
8f08ac94,,,,
8c2b6a45,,,,
012ee55d,,,,
9e3a0b4d,,,,
f1163cd0,,,,
fb96956f,,,,
6d20d06d,,,,
1ec78e45,,,,
74e73fd8,,,,
197434ae,,,,
3544ae14,,,,
64be2800,,,,
d5c3acf5,,,,
8661ef21,,,,
45f871da,,,,
11cd608a,,,,
94246c48,,,,
f04f325f,,,,
e8f1819d,,,,
1840d007,,,,
4e6506cb,,,,
487b1e60,,,,
db4b21a0,,,,
5727c7c4,,,,
842292e9,,,,
da2d17cb,,,,
2539789f,,,,
59f8674c,,,,
064af096,,,,
199e70a4,,,,
361d9744,,,,
de4dc827,,,,
62eee242,,,,
3e21f626,,,,
05ddd00d,,,,
a4a8c9c3,,,,
f14ff290,,,,
284c00a3,,,,
adadfcfe,,,,
9eb4ba76,,,,
13c96173,,,,
dacc60af,,,,
884d8af3,,,,
e804690b,,,,
