,total,chk_3,chk_4,ratio3
ee26664b,,,,
6331e16c,,,,
05076ad6,,,,
926e1b2f,,,,
8ec643db,,,,
2ff2f3cc,,,,
302c9456,,,,
38acb997,,,,
d7d60d87,,,,
5f3c4759,,,,
b843b8f9,,,,
51722f58,,,,
d60fd6b8,,,,
5549e828,,,,
5571c968,,,,
45ad0602,,,,
1a0a3ea4,,,,
6e9686a2,,,,
b553b70c,,,,
3fd1b05e,,,,
7c8595d7,,,,
692b3015,,,,
ed270a75,,,,
2172d752,,,,
0b633bd1,,,,
92dd8166,,,,
9600e3f1,,,,
f8b7ad62,,,,
41ef8010,,,,
5996a5e5,,,,
c787b92f,,,,
4344dab5,,,,
793c3a09,,,,
2b160426,,,,
b93e3d60,,,,
d3db83d8,,,,
b6f97320,,,,
f59b1c1c,,,,
44911d7c,,,,
3a4b95e0,,,,
df347a39,,,,
1b372a52,,,,
e71eb056,,,,
e5b7ba94,,,,
46c94a2d,,,,
10eb8893,,,,
2f9b6f7e,,,,
8e9db9e1,,,,
30a095aa,,,,
e8fc372a,,,,
f1ee693c,,,,
68a9cb4e,,,,
bfc1d11f,,,,
46988c7d,,,,
7ad00d78,,,,
267f1f8c,,,,
0b964d30,,,,
fc82173d,,,,
3097c913,,,,
4c596a1f,,,,
018fc755,,,,
a92a9dfe,,,,
b11e27e1,,,,
5e71a2ca,,,,
840d0eb0,,,,
93549a9e,,,,
7a44a9f9,,,,
146825f4,,,,
9d846dcb,,,,
9e79c1a5,,,,
7792d8ed,,,,
05ce28e9,,,,
648486e4,,,,
632a4e84,,,,
25d6ac7f,,,,
27f2bd61,,,,
c3468a40,,,,
2e466ada,,,,
fb60ed06,,,,
c33918c4,,,,
0af19ef8,,,,
470bfb49,,,,
f9f70417,,,,
25c219df,,,,
8fc8a81b,,,,
c8b2a822,,,,
4af73ecf,,,,
dab2c154,,,,
d14ddae7,,,,
0571584c,,,,
61746e84,,,,
f8f60436,,,,
ad137dae,,,,
0e90bd1b,,,,
9c0ddeb9,,,,
11be6397,,,,
5dfd45d5,,,,
b6fcf542,,,,
3dd16f23,,,,
7abbaccb,,,,
457c9cd6,,,,
9d98a4bc,,,,
e1cd2eaf,,,,
068d2acf,,,,
d10a8276,,,,
9ccfd763,,,,
7bce065f,,,,
2f007745,,,,
ab41fa6f,,,,
adcb1524,,,,
a2db758b,,,,
729e3f61,,,,
a9528c31,,,,
7e5aea47,,,,
2ca3f703,,,,
dbf351ad,,,,
73bbfd9e,,,,
5135ed41,,,,
c08ce49e,,,,
455872e5,,,,
43d77200,,,,
149b0ca9,,,,
cc634483,,,,
2fe6192d,,,,
77df11f2,,,,
81cc127b,,,,
cdb0b1a0,,,,
e747f227,,,,
c9d80c33,,,,
430b7e44,,,,
f7285678,,,,
2296695b,,,,
5b61b12b,,,,
116b4011,,,,
e3cf221c,,,,
c4932d21,,,,
22147c71,,,,
3c9e1ad7,,,,
0b8bab0b,,,,
4f3d9a1a,,,,
995f59ed,,,,
56d7bb38,,,,
35cad8b9,,,,
59d9fffe,,,,
b2ee45b2,,,,
f4266407,,,,
e1b7999c,,,,
bcea4d90,,,,
574f2328,,,,
effd3063,,,,
653e3e92,,,,
9f24ef79,,,,
04e778c8,,,,
1ba4736f,,,,
db48c455,,,,
12fd1b93,,,,
ba6b8b0b,,,,
56fbe615,,,,
99251b16,,,,
a1ed4790,,,,
c8ca6b29,,,,
ca7c8705,,,,
e49c795d,,,,
2837594a,,,,
11d79b86,,,,
cdb5e333,,,,
e5d04cee,,,,
e93373ca,,,,
16516603,,,,
dde292c2,,,,
b75a9cc4,,,,
55f16bd5,,,,
6f6fa963,,,,
de5bda95,,,,
c0ce6d37,,,,
ad46d91d,,,,
862b2182,,,,
556d3bdd,,,,
897fb72e,,,,
9f9bdbfc,,,,
e784ecf4,,,,
5aec381d,,,,
8a596a27,,,,
4d2e53fd,,,,
d48793ff,,,,
