,total,chk_3,chk_4,ratio3
0bf83776,,,,
921ae6f3,,,,
0664fd49,,,,
b2f10c16,,,,
f8596fca,,,,
08744a3d,,,,
310fde8e,,,,
0bac533e,,,,
2b7083a7,,,,
1040661c,,,,
ae6171de,,,,
e10b4706,,,,
05d78944,,,,
a0099f0e,,,,
36fdf227,,,,
c2c629a9,,,,
f719cdc1,,,,
e1f3ec41,,,,
81739164,,,,
9f7854e8,,,,
7520fcd3,,,,
8ac856b4,,,,
136ac50d,,,,
ccfa52c2,,,,
e8806e02,,,,
23f52d28,,,,
a08ff4e1,,,,
78161694,,,,
0486625a,,,,
f63bbe0a,,,,
c6ff417b,,,,
cececa74,,,,
e6f8973b,,,,
df2384ba,,,,
3cc8e917,,,,
5f97ffc5,,,,
d3a10ff3,,,,
be154614,,,,
51f3494d,,,,
3ad2b16a,,,,
4bb39baf,,,,
e4d216a8,,,,
8c962131,,,,
83c524e9,,,,
9c45397a,,,,
cddec782,,,,
d2355a98,,,,
ac57514a,,,,
58ec6a0e,,,,
48962a2c,,,,
11542dcb,,,,
450ece2d,,,,
07c52435,,,,
21ebae3b,,,,
9e070a8a,,,,
e3337f06,,,,
563dfedc,,,,
7e5727de,,,,
186c9491,,,,
a1b55660,,,,
26dee4a7,,,,
6a630689,,,,
1a963a62,,,,
f045bbf9,,,,
c70f32ab,,,,
f6f98e0d,,,,
b5ca94ab,,,,
9509d241,,,,
c33177c4,,,,
76318dd4,,,,
e6f640dc,,,,
fd6f3482,,,,
6892166d,,,,
695bcdee,,,,
722b31bd,,,,
aeefef57,,,,
dc6a2eaa,,,,
147d0638,,,,
12cd176b,,,,
090ca3bc,,,,
44b43165,,,,
2cfe29f1,,,,
d35ddf61,,,,
c14bc68e,,,,
90836030,,,,
f2ddea20,,,,
72107451,,,,
b0c0d816,,,,
2812a3e3,,,,
0cc49185,,,,
6eaeaa52,,,,
95ca0d6a,,,,
77c9b96a,,,,
d6f2274d,,,,
53ccce51,,,,
971c6c16,,,,
b3b2fa38,,,,
361f883e,,,,
158ba10f,,,,
d2191155,,,,
f33bd0fa,,,,
4c18dd59,,,,
310a0c49,,,,
5dfcc433,,,,
5493cddb,,,,
9d15d5bc,,,,
027e972f,,,,
adfd04aa,,,,
5b8df9e6,,,,
56f00ffd,,,,
98f3661e,,,,
6e098afe,,,,
a9f7dece,,,,
890f3f86,,,,
1695ad56,,,,
b0276a6b,,,,
74dff77e,,,,
60083641,,,,
b2b515a6,,,,
83ebb5f0,,,,
829bbd47,,,,
ccd37cf7,,,,
51dbfba3,,,,
f39e26a4,,,,
ee855b6d,,,,
65b1fc37,,,,
1b746d3b,,,,
f54fe85a,,,,
a6052f08,,,,
e453fc03,,,,
74ee7069,,,,
aa5602ab,,,,
5a97a4e2,,,,
1bcbf461,,,,
7e9177a3,,,,
11982102,,,,
70db50bc,,,,
0d9318ab,,,,
7a1e5792,,,,
332c0db2,,,,
5b318d6a,,,,
c02a0e25,,,,
3610d83a,,,,
a96419b6,,,,
c4ae91ea,,,,
1abd80ad,,,,
a3327ecf,,,,
373b02be,,,,
05bd1e0b,,,,
258d0484,,,,
620576a1,,,,
a56d8930,,,,
7905382c,,,,
104b0518,,,,
bfc6ae2f,,,,
640c7c02,,,,
463b9ee0,,,,
d684de23,,,,
37f808d9,,,,
8296cbe0,,,,
25c2333e,,,,
19dd3abb,,,,
abeb9aeb,,,,
121266df,,,,
591fb08f,,,,
b0455a42,,,,
6f314fe6,,,,
b80f27dd,,,,
d12306b9,,,,
af2360f7,,,,
b9213ba4,,,,
511b99bf,,,,
c454342b,,,,
c75c1159,,,,
99873162,,,,
21025518,,,,
39e275ed,,,,
1e520039,,,,
ce6f6ffc,,,,
65e5d279,,,,
93ba9731,,,,
cf7f312e,,,,
a90b50d6,,,,
a328f5e3,,,,
82460b66,,,,
ef85d7d4,,,,
63390b1c,,,,
c0adad39,,,,
03bf8d14,,,,
8666c88c,,,,
7618556a,,,,
cb6fd9ba,,,,
df29a652,,,,
5b232c9d,,,,
d382e882,,,,
235da397,,,,
ba4ae0af,,,,
957701fe,,,,
fe5df3c2,,,,
96893f15,,,,
0e637bb6,,,,
809d3db4,,,,
a324c3ed,,,,
d72210ac,,,,
4460aef7,,,,
99ae91b1,,,,
25359546,,,,
47de2492,,,,
8c42d52b,,,,
be197203,,,,
3b39373f,,,,
902f50f9,,,,
186712ce,,,,
6fc48a7a,,,,
04aa2454,,,,
c3fe294b,,,,
71123a3c,,,,
27818f5f,,,,
2eb51133,,,,
fbeb9188,,,,
8fe449b0,,,,
e0fd1a4f,,,,
cfdf164b,,,,
cbdfea23,,,,
ee406225,,,,
86cc4a40,,,,
692e700a,,,,
f358c5ac,,,,
3a4a02b0,,,,
ad041818,,,,
e0d007cb,,,,
433c364c,,,,
5f5e5b4f,,,,
1bf4367f,,,,
e1d19c08,,,,
40c46961,,,,
b1aae3a1,,,,
b2ed6746,,,,
37dd4d38,,,,
7d46c19b,,,,
51a50930,,,,
47b85d34,,,,
0ac81956,,,,
3f378096,,,,
91a6f718,,,,
b27b1b53,,,,
faaf4961,,,,
fe1243f7,,,,
75bd6941,,,,
0c19c553,,,,
64bd16e0,,,,
3f52c387,,,,
6165c57f,,,,
baa00892,,,,
52396af2,,,,
018044dd,,,,
0769881a,,,,
7dc8d92b,,,,
804132db,,,,
9919d334,,,,
a3081666,,,,
2d3899c2,,,,
eabcf0e1,,,,
1263a084,,,,
513982aa,,,,
d38eeae2,,,,
3d97d682,,,,
379166e9,,,,
a94c4fdc,,,,
e19a6b73,,,,
d1b038a1,,,,
4f054bae,,,,
3b62162e,,,,
d3bf46a1,,,,
aaf94e2f,,,,
543356a8,,,,
00653057,,,,
0398d35b,,,,
f33c21d4,,,,
6f923b5e,,,,
f221dc16,,,,
3f58818d,,,,
de8c71fb,,,,
567874db,,,,
a6554491,,,,
29ddb6b8,,,,
7d6e8c7a,,,,
614419c2,,,,
86fdcc55,,,,
39f8e088,,,,
45b9de19,,,,
65e32c87,,,,
50d4843b,,,,
f8cdddb0,,,,
20309ace,,,,
77848ef2,,,,
4902561d,,,,
6d71c5ce,,,,
cbc8ad34,,,,
38e6fbf1,,,,
fea3d934,,,,
b5e3d55a,,,,
e489b46d,,,,
76ece3ac,,,,
f7bfc0bc,,,,
87a1bb34,,,,
cd8d9068,,,,
b5ac4277,,,,
7307a4c4,,,,
5e2b3734,,,,
34d387c5,,,,
017365df,,,,
4fc3aa40,,,,
f7b08089,,,,
d1cabb97,,,,
6bba11c9,,,,
999e8400,,,,
e7b8bd8f,,,,
052a4cc3,,,,
233fc0dd,,,,
4baf25d7,,,,
32419da8,,,,
2e1b6a8c,,,,
bfc89688,,,,
902c08af,,,,
0a06fd0a,,,,
00bb962c,,,,
46aa0a8b,,,,
40d820d3,,,,
733c5535,,,,
54712df5,,,,
41a4c731,,,,
f837a2aa,,,,
b982d5a0,,,,
