,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
60,,,,,,0.333,0.081,0.128,0.156,,,0.248,0.312,0.363,0.469,0.446,,,0.429,,0.39,0.414,0.3720000000000001,,,0.314,0.365,0.328,0.305,0.407,,,0.624,0.5870000000000001,0.221,0.379,0.383,,,,,,,,,,,0.324,0.237,,,,,,,,,,,
61,,,,,,0.333,0.081,0.128,0.156,,,0.248,0.312,0.363,0.469,0.446,,,0.429,,0.39,0.414,,,,0.314,0.365,0.328,0.305,0.407,,,0.624,0.5870000000000001,0.221,0.379,0.383,,,,,,,,,,,0.324,0.237,0.328,0.339,,,,,,,,,
62,,,,,,0.317,0.08,0.135,0.153,,,0.28600000000000003,0.337,0.349,0.484,0.451,,,0.455,,0.344,0.37,0.371,,,,,0.345,,0.441,,,0.47,0.6559999999999999,0.185,0.4,0.335,,,,,,,,,,,0.355,0.264,0.36,0.316,,,0.079,0.063,0.062,,,,
63,,,,,,,,,,0.141,0.478,,,,,,1.154,0.479,,,,,,0.5589999999999999,0.534,,,,,,0.496,0.526,,,,,,0.214,0.7759999999999999,0.36,0.35600000000000004,0.316,0.321,0.759,0.653,0.344,0.855,,,,,0.58,0.4370000000000001,,,,,,,
64,,,,,,0.369,0.168,0.172,0.146,,,0.205,0.308,0.422,0.478,0.7390000000000001,,,0.728,0.329,0.443,0.409,0.377,,,0.56,0.431,0.507,0.326,,,,0.775,0.498,0.561,0.394,0.657,,,,,,,,,,,0.47,0.493,0.48,0.603,,,0.064,0.068,0.063,0.062,0.07200000000000001,,
65,,,,,,0.465,0.149,0.155,0.138,,,0.486,0.4970000000000001,1.105,0.55,1.012,,,0.994,0.95,0.478,0.547,0.536,,,0.569,0.59,0.514,0.529,0.622,,,0.353,0.523,0.598,0.584,0.532,,,,,,,,,,,0.705,,0.63,0.531,,,0.077,0.075,0.08199999999999999,0.07400000000000001,0.071,,
66,,,,,,,0.56,0.156,0.156,,,0.3,0.455,0.388,0.393,0.611,,,0.54,0.8270000000000001,0.478,0.5760000000000001,0.546,,,0.212,0.541,0.524,0.387,0.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,0.369,0.168,0.172,0.146,,,0.205,0.308,0.422,0.478,0.7390000000000001,,,0.728,0.329,0.443,0.409,0.377,,,0.56,0.431,0.507,0.326,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,0.103,0.155,0.152,,,0.26,0.36,0.305,0.355,0.458,,,0.467,0.431,0.386,0.475,0.374,,,0.194,0.401,0.326,0.358,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,0.465,0.149,0.155,0.138,,,0.486,0.4970000000000001,1.105,0.55,1.012,,,0.994,0.95,0.478,0.547,0.536,,,0.569,0.59,0.514,0.529,0.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
