Time,values,nan,nan_bfaf,candidate,nan_len,result,mean,std,sample_len,z-score
2018-12-16 05:00:00,0.297,False,0.0,0.0,0.0,0.0,0.3776,0.09300945637062381,0.0,-0.8665785517423664
2018-12-16 06:00:00,0.177,False,0.0,0.0,0.0,0.0,0.31489743589743596,0.10371083150857353,0.0,-1.3296338857917296
2018-12-16 07:00:00,0.281,False,0.0,0.0,0.0,0.0,0.4188717948717948,0.1450174543917821,0.0,-0.950725520938449
2018-12-16 08:00:00,0.579,False,0.0,0.0,0.0,0.0,0.411825,0.10583947387798764,0.0,1.5795146543596794
2018-12-16 09:00:00,0.76,False,0.0,0.0,0.0,0.0,0.40480487804878046,0.13106929837154754,0.0,2.7099795784695
2018-12-16 10:00:00,0.757,False,0.0,0.0,0.0,0.0,0.4317073170731707,0.13142702231703324,0.0,2.4750821953657747
2018-12-16 11:00:00,0.5539999999999999,False,0.0,0.0,0.0,0.0,0.47119999999999995,0.12965678559675173,0.0,0.6386090756369511
2018-12-16 12:00:00,0.5589999999999999,False,0.0,0.0,0.0,0.0,0.4804390243902439,0.15970833553394886,0.0,0.4919027885871149
2018-12-16 13:00:00,0.614,False,0.0,0.0,0.0,0.0,0.46231707317073173,0.2091282428349158,0.0,0.7253105786816445
2018-12-16 14:00:00,0.596,False,0.0,0.0,0.0,0.0,0.461390243902439,0.1974274395884195,0.0,0.6818188818037875
2018-12-16 15:00:00,0.344,False,0.0,0.0,0.0,0.0,0.4815609756097561,0.18161815008149487,0.0,-0.7574186585868778
2018-12-16 16:00:00,0.192,False,0.0,0.0,0.0,0.0,0.461,0.186459915263308,0.0,-1.4426693245040558
2018-12-16 17:00:00,0.84,False,0.0,0.0,0.0,0.0,0.7055714285714285,0.31634190694656994,0.0,0.4249470856584183
2018-12-16 18:00:00,0.647,False,0.0,0.0,0.0,0.0,0.7745952380952381,0.2651979527128983,0.0,-0.4811320630117078
2018-12-16 19:00:00,0.8370000000000001,False,0.0,0.0,0.0,0.0,0.7058809523809524,0.2286763825169142,0.0,0.5733825512538419
2018-12-16 20:00:00,0.862,False,0.0,0.0,0.0,0.0,0.7436976744186047,0.23937940943433206,0.0,0.49420426702927717
2018-12-16 21:00:00,0.5529999999999999,False,0.0,0.0,0.0,0.0,0.6850697674418605,0.21080677175226437,0.0,-0.6264967977265274
2018-12-16 22:00:00,0.455,False,0.0,0.0,0.0,0.0,0.5947674418604652,0.19892279397381216,0.0,-0.7026215501420379
2018-12-16 23:00:00,0.28,False,0.0,0.0,0.0,0.0,0.4783414634146342,0.16403591218938882,0.0,-1.2091343948246993
2018-12-17 00:00:00,0.453,False,0.0,0.0,0.0,0.0,0.36773170731707316,0.09594582439852292,0.0,0.8887129087426919
