Time,values,nan,nan_bfaf,candidate,nan_len,result,mean,std,sample_len,z-score
2017-08-26 22:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-26 23:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 00:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 01:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 02:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 03:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 04:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 05:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 06:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 07:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 08:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 09:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 10:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 11:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 12:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 13:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 14:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 15:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 16:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 17:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 18:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 19:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 20:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 21:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 22:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-27 23:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 00:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 01:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 02:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 03:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 04:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 05:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 06:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 07:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 08:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 09:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 10:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 11:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 12:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 13:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 14:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 15:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 16:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 17:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 18:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 19:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 20:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 21:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 22:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-28 23:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 00:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 01:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 02:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 03:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 04:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 05:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 06:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 07:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 08:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2017-08-29 09:00:00,0.16399999999999998,False,1.0,0.0,0.0,0.0,0.4148846153846154,0.11689151446467853,0.0,-2.146303061719899
2017-08-29 10:00:00,0.295,False,0.0,0.0,0.0,0.0,0.37144444444444447,0.10858967698965656,0.0,-0.7039752448266883
2017-08-29 11:00:00,0.302,False,0.0,0.0,0.0,0.0,0.3346785714285715,0.10620910666522122,0.0,-0.3076814451662485
2017-08-29 12:00:00,0.29,False,0.0,0.0,0.0,0.0,0.318,0.104330176431777,0.0,-0.26837872758999526
2017-08-29 13:00:00,0.38,False,0.0,0.0,0.0,0.0,0.3454,0.10810773681203713,0.0,0.32005109921186997
2017-08-29 14:00:00,0.3670000000000001,False,0.0,0.0,0.0,0.0,0.3369666666666667,0.08486885758925794,0.0,0.35387931670632977
2017-08-29 15:00:00,0.235,False,0.0,0.0,0.0,0.0,0.3254000000000001,0.09207515670776034,0.0,-0.981806637450783
2017-08-29 16:00:00,0.285,False,0.0,0.0,0.0,0.0,0.3546000000000001,0.08529001235136827,0.0,-0.8160392768296222
2017-08-29 17:00:00,0.328,False,0.0,0.0,0.0,0.0,0.43356666666666666,0.10316832022888893,0.0,-1.023246927278226
2017-08-29 18:00:00,0.443,False,0.0,0.0,0.0,0.0,0.46379999999999993,0.0846263185605013,0.0,-0.24578642145622265
2017-08-29 19:00:00,0.41,False,0.0,0.0,0.0,0.0,0.49546666666666667,0.12152188204637036,0.0,-0.7033026910664064
2017-08-29 20:00:00,0.469,False,0.0,0.0,0.0,0.0,0.4697333333333334,0.11964255191981263,0.0,-0.006129368870574719
2017-08-29 21:00:00,0.63,False,0.0,0.0,0.0,0.0,0.5225333333333334,0.07742392632653095,0.0,1.3880291502323472
2017-08-29 22:00:00,0.561,False,0.0,0.0,0.0,0.0,0.5486666666666667,0.07319474888520225,0.0,0.16850024791637386
2017-08-29 23:00:00,0.618,False,0.0,0.0,0.0,0.0,0.5574666666666667,0.06918726877771328,0.0,0.8749201175698444
2017-08-30 00:00:00,0.436,False,0.0,0.0,0.0,0.0,0.4142333333333334,0.06205986172061302,0.0,0.35073662852582316
2017-08-30 01:00:00,0.155,False,0.0,0.0,0.0,0.0,0.2467666666666667,0.06133609126732827,0.0,-1.4961283767938403
2017-08-30 02:00:00,0.14,False,0.0,0.0,0.0,0.0,0.1905,0.05748628022226785,0.0,-0.8784704768641186
2017-08-30 03:00:00,0.141,False,0.0,0.0,0.0,0.0,0.18136666666666665,0.04958690270162303,0.0,-0.8140590451789887
2017-08-30 04:00:00,0.14,False,0.0,0.0,0.0,0.0,0.17226666666666668,0.03843573528796395,0.0,-0.8394965368795972
2017-08-30 05:00:00,0.141,False,0.0,0.0,0.0,0.0,0.1668333333333333,0.03332502770087923,0.0,-0.775193154082562
2017-08-30 06:00:00,0.171,False,0.0,0.0,0.0,0.0,0.19426666666666662,0.0422447167342145,0.0,-0.5507592064837459
2017-08-30 07:00:00,0.401,False,0.0,0.0,0.0,0.0,0.3341333333333332,0.09977413573125823,0.0,0.6701803646465277
2017-08-30 08:00:00,0.503,False,0.0,0.0,0.0,0.0,0.42448275862068974,0.07701559243317234,0.0,1.0194979860401767
2017-08-30 09:00:00,0.429,False,0.0,0.0,0.0,0.0,0.4091851851851852,0.11838562706324063,0.0,0.16737517303709407
2017-08-30 10:00:00,0.36,False,0.0,0.0,0.0,0.0,0.36310714285714285,0.115331194355796,0.0,-0.026941044654036513
2017-08-30 11:00:00,0.388,False,0.0,0.0,0.0,0.0,0.32737931034482765,0.11145672247658135,0.0,0.543894422051659
2017-08-30 12:00:00,0.452,False,0.0,0.0,0.0,0.0,0.31416666666666665,0.1046435932544148,0.0,1.3171693464140322
2017-08-30 13:00:00,0.445,False,0.0,0.0,0.0,0.0,0.3447096774193548,0.10636014088883333,0.0,0.9429314566766862
2017-08-30 14:00:00,0.29,False,0.0,0.0,0.0,0.0,0.33083870967741935,0.09014843196055179,0.0,-0.4530163064321524
2017-08-30 15:00:00,0.223,False,0.0,0.0,0.0,0.0,0.3226774193548388,0.09178793933002098,0.0,-1.0859533407374078
2017-08-30 16:00:00,0.324,False,0.0,0.0,0.0,0.0,0.3537741935483872,0.08398242263609663,0.0,-0.3545288718021558
2017-08-30 17:00:00,0.355,False,0.0,0.0,0.0,0.0,0.4306129032258065,0.10275883657682999,0.0,-0.7358287203774712
2017-08-30 18:00:00,0.343,False,0.0,0.0,0.0,0.0,0.46190322580645155,0.08387147104894475,0.0,-1.4176838002169216
2017-08-30 19:00:00,0.4320000000000001,False,0.0,0.0,0.0,0.0,0.49870967741935485,0.12083603037405331,0.0,-0.5520677666491688
2017-08-30 20:00:00,0.56,False,0.0,0.0,0.0,0.0,0.4640000000000001,0.12188601232298972,0.0,0.7876211401978305
2017-08-30 21:00:00,0.58,False,0.0,0.0,0.0,0.0,0.5171935483870969,0.08172246502842764,0.0,0.7685334943219775
2017-08-30 22:00:00,0.54,False,0.0,0.0,0.0,0.0,0.5483548387096775,0.07198543759543628,0.0,-0.11606290089715503
2017-08-30 23:00:00,0.584,False,0.0,0.0,0.0,0.0,0.5563225806451613,0.06832197650184221,0.0,0.4051027322678876
